filename	ATTRIBUTE_Code	ATTRIBUTE_Type	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	ATTRIBUTE_Organe	ATTRIBUTE_Broad_organ	ATTRIBUTE_Tissue	ATTRIBUTE_Subsystem
LQ-01-61-01_pos.mzXML	V107694	Sample	Celastraceae	Catha	Catha edulis	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-02_pos.mzXML	V107695	Sample	Celastraceae	Catha	Catha edulis	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-03_pos.mzXML	V107696	Sample	Celastraceae	Catha	Catha edulis	Roots	roots	root tissue	belowground
LQ-01-61-04_pos.mzXML	V114502	Sample	Celastraceae	Catha	Catha edulis	Aerial_parts	multiple	multiple	aboveground
LQ-01-61-05_pos.mzXML	V103080	Sample	Celastraceae	Celastrus	Celastrus orbiculatus	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-06_pos.mzXML	V111863	Sample	Celastraceae	Celastrus	Celastrus orbiculatus	Roots	roots	root tissue	belowground
LQ-01-61-07_pos.mzXML	V100029	Sample	Celastraceae	Celastrus	Celastrus paniculatus	Seeds	reproductive	green tissue	aboveground
LQ-01-61-08_pos.mzXML	V105603	Sample	Celastraceae	Celastrus	Celastrus paniculatus	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-09_pos.mzXML	V105604	Sample	Celastraceae	Celastrus	Celastrus paniculatus	Bark	woody vegetative	woody tissue	aboveground
LQ-01-61-10_pos.mzXML	V108295	Sample	Celastraceae	Elaeodendron	Elaeodendron schweinfurthianum	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-11_pos.mzXML	V108296	Sample	Celastraceae	Elaeodendron	Elaeodendron schweinfurthianum	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-12_pos.mzXML	V113977	Sample	Celastraceae	Evonymopsis	Evonymopsis sp	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-13_pos.mzXML	V113978	Sample	Celastraceae	Evonymopsis	Evonymopsis sp	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-14_pos.mzXML	V113979	Sample	Celastraceae	Evonymopsis	Evonymopsis sp	Underground_parts	multiple	multiple	belowground
LQ-01-61-15_pos.mzXML	V104538	Sample	Celastraceae	Euonymus	Euonymus alatus	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-16_pos.mzXML	V104539	Sample	Celastraceae	Euonymus	Euonymus alatus	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-17_pos.mzXML	V110858	Sample	Celastraceae	Euonymus	Euonymus bockii	Roots	roots	root tissue	belowground
LQ-01-61-18_pos.mzXML	V110859	Sample	Celastraceae	Euonymus	Euonymus bockii	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-19_pos.mzXML	V110860	Sample	Celastraceae	Euonymus	Euonymus bockii	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-20_pos.mzXML	V105442	Sample	Celastraceae	Euonymus	Euonymus maackii	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-21_pos.mzXML	V116403	Sample	Celastraceae	Euonymus	Euonymus cochinchinensis	Branche	woody vegetative	woody tissue	aboveground
LQ-01-61-22_pos.mzXML	V116404	Sample	Celastraceae	Euonymus	Euonymus cochinchinensis	Roots	roots	root tissue	belowground
LQ-01-61-23_pos.mzXML	V116406	Sample	Celastraceae	Euonymus	Euonymus cochinchinensis	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-24_pos.mzXML	V110861	Sample	Celastraceae	Euonymus	Euonymus dielsianus	Roots	roots	root tissue	belowground
LQ-01-61-25_pos.mzXML	V110862	Sample	Celastraceae	Euonymus	Euonymus dielsianus	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-26_pos.mzXML	V110863	Sample	Celastraceae	Euonymus	Euonymus dielsianus	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-27_pos.mzXML	V105253	Sample	Celastraceae	Euonymus	Euonymus fortunei	Aerial_parts	multiple	multiple	aboveground
LQ-01-61-28_pos.mzXML	V113153	Sample	Celastraceae	Euonymus	Euonymus grandiflorus	Bark	woody vegetative	woody tissue	aboveground
LQ-01-61-29_pos.mzXML	V114337	Sample	Celastraceae	Euonymus	Euonymus alatus	Bark	woody vegetative	woody tissue	aboveground
LQ-01-61-30_pos.mzXML	V114338	Sample	Celastraceae	Euonymus	Euonymus alatus	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-31_pos.mzXML	V110309	Sample	Celastraceae	Euonymus	Euonymus frigidus	Roots	roots	root tissue	belowground
LQ-01-61-32_pos.mzXML	V110310	Sample	Celastraceae	Euonymus	Euonymus frigidus	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-33_pos.mzXML	V110311	Sample	Celastraceae	Euonymus	Euonymus frigidus	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-34_pos.mzXML	V111793	Sample	Celastraceae	Euonymus	Euonymus myrianthus	Roots	roots	root tissue	belowground
LQ-01-61-35_pos.mzXML	V111794	Sample	Celastraceae	Euonymus	Euonymus myrianthus	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-36_pos.mzXML	V111795	Sample	Celastraceae	Euonymus	Euonymus myrianthus	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-37_pos.mzXML	V111409	Sample	Celastraceae	Euonymus	Euonymus sanguineus	Roots	roots	root tissue	belowground
LQ-01-61-38_pos.mzXML	V111410	Sample	Celastraceae	Euonymus	Euonymus sanguineus	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-39_pos.mzXML	V111411	Sample	Celastraceae	Euonymus	Euonymus sanguineus	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-40_pos.mzXML	V114012	Sample	Celastraceae	Loeseneriella	Loeseneriella urceolus	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-41_pos.mzXML	V107269	Sample	Celastraceae	Loeseneriella	Loeseneriella concinna	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-42_pos.mzXML	V108472	Sample	Celastraceae	Loeseneriella	Loeseneriella concinna	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-43_pos.mzXML	V108332	Sample	Celastraceae	Gymnosporia	Gymnosporia buchananii	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-44_pos.mzXML	V108333	Sample	Celastraceae	Gymnosporia	Gymnosporia buchananii	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-45_pos.mzXML	V101528	Sample	Celastraceae	Gymnosporia	Gymnosporia buxifolia	Bark	woody vegetative	woody tissue	aboveground
LQ-01-61-46_pos.mzXML	V113998	Sample	Celastraceae	Maytenus	Maytenus inermis	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-47_pos.mzXML	V113999	Sample	Celastraceae	Maytenus	Maytenus inermis	Underground_parts	multiple	multiple	belowground
LQ-01-61-48_pos.mzXML	V105100	Sample	Celastraceae	Gymnosporia	Gymnosporia buxifolia	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-49_pos.mzXML	V105101	Sample	Celastraceae	Gymnosporia	Gymnosporia buxifolia	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-50_pos.mzXML	V105102	Sample	Celastraceae	Gymnosporia	Gymnosporia buxifolia	Roots	roots	root tissue	belowground
LQ-01-61-51_pos.mzXML	V106281	Sample	Celastraceae	Gymnosporia	Gymnosporia graciliramula	Aerial_parts	multiple	multiple	aboveground
LQ-01-61-52_pos.mzXML	V116016	Sample	Celastraceae	Gymnosporia	Gymnosporia senegalensis	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-53_pos.mzXML	V116017	Sample	Celastraceae	Gymnosporia	Gymnosporia senegalensis	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-54_pos.mzXML	V105698	Sample	Celastraceae	Maytenus	Maytenus undata	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-55_pos.mzXML	V105699	Sample	Celastraceae	Maytenus	Maytenus undata	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-56_pos.mzXML	V109319	Sample	Celastraceae	Maytenus	Maytenus undata	Roots	roots	root tissue	belowground
LQ-01-61-57_pos.mzXML	V107914	Sample	Celastraceae	Microtropis	Microtropis triflora	Roots	roots	root tissue	belowground
LQ-01-61-58_pos.mzXML	V107915	Sample	Celastraceae	Microtropis	Microtropis triflora	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-59_pos.mzXML	V107916	Sample	Celastraceae	Microtropis	Microtropis triflora	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-60_pos.mzXML	V102807	Sample	Celastraceae	Mystroxylon	Mystroxylon aethiopicum	Bark	woody vegetative	woody tissue	aboveground
LQ-01-61-61_pos.mzXML	V103478	Sample	Celastraceae	Mystroxylon	Mystroxylon aethiopicum	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-62_pos.mzXML	V107716	Sample	Celastraceae	Pleurostylia	Pleurostylia africana	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-63_pos.mzXML	V100713	Sample	Celastraceae	Pleurostylia	Pleurostylia pachyphloea	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-64_pos.mzXML	V100727	Sample	Celastraceae	Pleurostylia	Pleurostylia pachyphloea	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-65_pos.mzXML	V113494	Sample	Celastraceae	Salacia	Salacia chinensis	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-66_pos.mzXML	V113495	Sample	Celastraceae	Salacia	Salacia chinensis	Branche	woody vegetative	woody tissue	aboveground
LQ-01-61-67_pos.mzXML	V113496	Sample	Celastraceae	Salacia	Salacia chinensis	Roots	roots	root tissue	belowground
LQ-01-61-68_pos.mzXML	V114998	Sample	Celastraceae	Salacia	Salacia cochinchinensis	Leaves	photosynthetic	green tissue	aboveground
LQ-01-61-69_pos.mzXML	V114999	Sample	Celastraceae	Salacia	Salacia cochinchinensis	Branche	woody vegetative	woody tissue	aboveground
LQ-01-61-70_pos.mzXML	V115000	Sample	Celastraceae	Salacia	Salacia cochinchinensis	Underground_parts	multiple	multiple	belowground
LQ-01-61-71_pos.mzXML	V102387	Sample	Celastraceae	Salacia	Salacia chinensis	Indeterminated	multiple	multiple	multiple
LQ-01-61-72_pos.mzXML	V102634	Sample	Celastraceae	Salacia	Salacia letestuana	Fruits	reproductive	green tissue	aboveground
LQ-01-61-73_pos.mzXML	V109564	Sample	Celastraceae	Tripterygium	Tripterygium hypoglaucum	Roots	roots	root tissue	belowground
LQ-01-61-74_pos.mzXML	V107005	Sample	Celastraceae	Tripterygium	Tripterygium wilfordii	Roots	roots	root tissue	belowground
LQ-01-61-75_pos.mzXML	V107006	Sample	Celastraceae	Tripterygium	Tripterygium wilfordii	Stems	woody vegetative	woody tissue	aboveground
LQ-01-61-76_pos.mzXML	NA	Blank_process	NA	NA	NA	NA	NA	NA	NA
LQ-01-61-78_pos.mzXML	V113570	Sample	Celastraceae	Pristimera	Prisitmera indica	Roots	roots	root tissue	belowground
