row ID,row m/z,row retention time,LQ-01-61-01_pos.mzXML Peak area,LQ-01-61-02_pos.mzXML Peak area,LQ-01-61-03_pos.mzXML Peak area,LQ-01-61-04_pos.mzXML Peak area,LQ-01-61-05_pos.mzXML Peak area,LQ-01-61-06_pos.mzXML Peak area,LQ-01-61-07_pos.mzXML Peak area,LQ-01-61-08_pos.mzXML Peak area,LQ-01-61-09_pos.mzXML Peak area,LQ-01-61-10_pos.mzXML Peak area,LQ-01-61-11_pos.mzXML Peak area,LQ-01-61-12_pos.mzXML Peak area,LQ-01-61-13_pos.mzXML Peak area,LQ-01-61-14_pos.mzXML Peak area,LQ-01-61-15_pos.mzXML Peak area,LQ-01-61-16_pos.mzXML Peak area,LQ-01-61-17_pos.mzXML Peak area,LQ-01-61-18_pos.mzXML Peak area,LQ-01-61-19_pos.mzXML Peak area,LQ-01-61-20_pos.mzXML Peak area,LQ-01-61-21_pos.mzXML Peak area,LQ-01-61-22_pos.mzXML Peak area,LQ-01-61-23_pos.mzXML Peak area,LQ-01-61-24_pos.mzXML Peak area,LQ-01-61-25_pos.mzXML Peak area,LQ-01-61-26_pos.mzXML Peak area,LQ-01-61-27_pos.mzXML Peak area,LQ-01-61-28_pos.mzXML Peak area,LQ-01-61-29_pos.mzXML Peak area,LQ-01-61-30_pos.mzXML Peak area,LQ-01-61-31_pos.mzXML Peak area,LQ-01-61-32_pos.mzXML Peak area,LQ-01-61-33_pos.mzXML Peak area,LQ-01-61-34_pos.mzXML Peak area,LQ-01-61-35_pos.mzXML Peak area,LQ-01-61-36_pos.mzXML Peak area,LQ-01-61-37_pos.mzXML Peak area,LQ-01-61-38_pos.mzXML Peak area,LQ-01-61-39_pos.mzXML Peak area,LQ-01-61-40_pos.mzXML Peak area,LQ-01-61-41_pos.mzXML Peak area,LQ-01-61-42_pos.mzXML Peak area,LQ-01-61-43_pos.mzXML Peak area,LQ-01-61-44_pos.mzXML Peak area,LQ-01-61-45_pos.mzXML Peak area,LQ-01-61-46_pos.mzXML Peak area,LQ-01-61-47_pos.mzXML Peak area,LQ-01-61-48_pos.mzXML Peak area,LQ-01-61-49_pos.mzXML Peak area,LQ-01-61-50_pos.mzXML Peak area,LQ-01-61-51_pos.mzXML Peak area,LQ-01-61-52_pos.mzXML Peak area,LQ-01-61-53_pos.mzXML Peak area,LQ-01-61-54_pos.mzXML Peak area,LQ-01-61-55_pos.mzXML Peak area,LQ-01-61-56_pos.mzXML Peak area,LQ-01-61-57_pos.mzXML Peak area,LQ-01-61-58_pos.mzXML Peak area,LQ-01-61-59_pos.mzXML Peak area,LQ-01-61-60_pos.mzXML Peak area,LQ-01-61-61_pos.mzXML Peak area,LQ-01-61-62_pos.mzXML Peak area,LQ-01-61-63_pos.mzXML Peak area,LQ-01-61-64_pos.mzXML Peak area,LQ-01-61-65_pos.mzXML Peak area,LQ-01-61-66_pos.mzXML Peak area,LQ-01-61-67_pos.mzXML Peak area,LQ-01-61-68_pos.mzXML Peak area,LQ-01-61-69_pos.mzXML Peak area,LQ-01-61-70_pos.mzXML Peak area,LQ-01-61-71_pos.mzXML Peak area,LQ-01-61-72_pos.mzXML Peak area,LQ-01-61-73_pos.mzXML Peak area,LQ-01-61-74_pos.mzXML Peak area,LQ-01-61-75_pos.mzXML Peak area,LQ-01-61-76_pos.mzXML Peak area,LQ-01-61-77_pos.mzXML Peak area,LQ-01-61-78_pos.mzXML Peak area,
1,696.3010070800781,4.763916666666667,2.6007727791560926E9,3.134766657051579E7,8.413719694876973E7,6.925458133690618E7,0,0,0,0,3256476.4402734363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,351.1392168317522,4.238121428571429,8.860196071852527E8,1.9647810241427843E7,8688867.452476611,2.2144983098642836E9,0,0,0,0,1639853.6875742318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.579049046472741E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633205.4259590013,0,0,0,0,0,0,0,0,0,0,
3,358.1286315917969,3.886888888888889,8.544583224516535E8,2.5941630714222636E7,0,4.6121630742071533E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,584.194091796875,4.767327777777777,6.32016074965424E8,0,2.873639286348754E8,9.707806788814072E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,682.2861938476562,4.54746,5.282799825708391E8,7494121.949236353,1.7712001388978526E7,2.0366162604562465E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298502810534578E7,
6,443.3883226182726,6.27357962962963,5.227183753318107E8,2.1070711892556393E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.793883338168732E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0648098394327976E7,0,0,0,0,0,3.985779992564368E8,4.5902625556218676E7,0,0,0,0,0,0,0,0,0,0,8968131.054031268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3899154487921995E8,0,3.512689308799989E7,0,0,0,0,0,
7,553.1868489583334,4.459672222222223,5.1221096626106876E8,0,2.5583782320697527E9,1.5670698708540072E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,585.2026290893555,4.933704166666667,3.9361314491887426E8,5.018283077770328E7,1.1249521094243689E8,8.079579712549645E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,443.3882090250651,5.623516666666666,4.7224633159181124E8,1.859377146982032E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.764162871613756E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,288.28965821984696,3.69902808219178,2.3472750628587508E8,3.222927415523112E8,2.530774501861883E8,3.2446833134662646E8,2.0731085516656286E8,1.6423598549737495E8,6.2562958979952835E7,1.3754394847609392E8,3.691790241062492E8,4.100877468744999E8,3.389733589487494E8,1.8979505360968724E8,3.282298391458742E8,2.3013093433312488E8,2.8716836536193895E8,4.3794578555078186E7,4.0255853407975084E8,3.482032604097492E8,1.428749126080932E8,4.2593190935187525E8,4.3214922001962507E8,3.819167090166246E8,1.2314344385918714E8,2.413804165139857E7,1.399630475225318E8,0,2.3576484679812454E7,3.1521597062644545E7,1.7034631511335853E7,2.2646629833375048E7,2.593691288697657E7,4.237297399617196E7,0,1.1338037016945338E8,1.3682823065246862E8,0,0,4.6113040123609334E7,1.730141175345319E7,1.9820742545156326E7,5.280798653209363E7,4.003112755571101E7,2.909218824058749E8,2.357089349922507E8,2.6909879713212526E8,2.4428128356281245E8,3.413389836483751E8,2.5100729412593824E8,2.409175218250939E8,2.5878181920193756E8,3.3391447519437623E8,2.490721835976557E7,3.634234819538127E8,1.3449811215734363E8,7.173635677831237E7,9.819533830100021E7,6.99719866177969E7,2.289369935478121E8,1.674995080594371E8,1.2032826944875081E8,1.2112525133996879E8,1.8301087550612438E8,4.36115619622498E8,4.343981924349977E7,4.7415557422546916E7,3.886233858860164E7,2.1920940365562588E7,2.7046477241281208E7,2.1235098599320386E7,2.880476700710934E7,2.620741169918745E7,0,1.2448166020999983E8,2.6098980334406268E7,8.308214381006242E7,1003621.0037211865,1059897.4487915044,3.075236946315625E7,
