row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20220918_LFX_AB_19_P10B07_1_POS.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_F.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_D.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_A.mzML Peak area,20220918_LFX_AB_07_P10A07_1_POS.mzML Peak area,20220918_LFX_AB_01_P10A01_1_POS.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_H.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_G.mzML Peak area,20220918_LFX_AB_18_P10B06_1_POS.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_B.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_C.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_E.mzML Peak area,20220918_LFX_AB_04_P10A04_1_POS.mzML Peak area,20220918_LFX_AB_06_P10A06_1_POS.mzML Peak area,20220918_LFX_AB_02_P10A02_1_POS.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_post_H.mzML Peak area,20220918_LFX_AB_28_P10C04_1_POS.mzML Peak area,20220918_LFX_AB_22_P10B10_1_POS.mzML Peak area,20220918_LFX_AB_20_P10B08_1_POS.mzML Peak area,20220918_LFX_AB_08_P10A08_1_POS.mzML Peak area,20220918_LFX_AB_37_P10D01_1_POS.mzML Peak area,20220918_LFX_AB_05_P10A05_1_POS.mzML Peak area,20220918_LFX_AB_14_P10B02_1_POS.mzML Peak area,20220918_LFX_AB_21_P10B09_1_POS.mzML Peak area,20220918_LFX_AB_13_P10B01_1_POS.mzML Peak area,20220918_LFX_AB_15_P10B03_1_POS.mzML Peak area,20220918_LFX_AB_03_P10A03_1_POS.mzML Peak area,20220918_LFX_AB_24_P10B12_1_POS.mzML Peak area,20220918_LFX_AB_17_P10B05_1_POS.mzML Peak area,20220918_LFX_AB_12_P10A12_1_POS.mzML Peak area,20220918_LFX_AB_10_P10A10_1_POS.mzML Peak area,20220918_LFX_AB_11_P10A11_1_POS.mzML Peak area,20220918_LFX_AB_38_P10D02_1_POS.mzML Peak area,20220918_LFX_AB_29_P10C05_1_POS.mzML Peak area,20220918_LFX_AB_25_P10C01_1_POS.mzML Peak area,20220918_LFX_AB_45_P10D09_1_POS.mzML Peak area,20220918_LFX_AB_44_P10D08_1_POS.mzML Peak area,20220918_LFX_AB_09_P10A09_1_POS.mzML Peak area,20220918_LFX_AB_31_P10C07_1_POS.mzML Peak area,20220918_LFX_AB_34_P10C10_1_POS.mzML Peak area,20220918_LFX_AB_16_P10B04_1_POS.mzML Peak area,20220918_LFX_AB_23_P10B11_1_POS.mzML Peak area,20220918_LFX_AB_39_P10D03_1_POS.mzML Peak area,20220918_LFX_AB_26_P10C02_1_POS.mzML Peak area,20220918_LFX_AB_36_P10C12_1_POS.mzML Peak area,20220918_LFX_AB_47_P10D11_1_POS.mzML Peak area,20220918_LFX_AB_27_P10C03_1_POS.mzML Peak area,20220918_LFX_AB_33_P10C09_1_POS.mzML Peak area,20220918_LFX_AB_48_P10D12_1_POS.mzML Peak area,20220918_LFX_AB_70_P10F10_1_POS.mzML Peak area,20220918_LFX_AB_58_P10E10_1_POS.mzML Peak area,20220918_LFX_AB_32_P10C08_1_POS.mzML Peak area,20220918_LFX_AB_30_P10C06_1_POS.mzML Peak area,20220918_LFX_AB_43_P10D07_1_POS.mzML Peak area,20220918_LFX_AB_50_P10E02_1_POS.mzML Peak area,20220918_LFX_AB_49_P10E01_1_POS.mzML Peak area,20220918_LFX_AB_46_P10D10_1_POS.mzML Peak area,20220918_LFX_AB_41_P10D05_1_POS.mzML Peak area,20220918_LFX_AB_51_P10E03_1_POS.mzML Peak area,20220918_LFX_AB_54_P10E06_1_POS.mzML Peak area,20220918_LFX_AB_67_P10F08_1_POS.mzML Peak area,20220918_LFX_AB_52_P10E04_1_POS.mzML Peak area,20220918_LFX_AB_35_P10C11_1_POS.mzML Peak area,20220918_LFX_AB_53_P10E05_1_POS.mzML Peak area,20220918_LFX_AB_73_P10G01_1_POS.mzML Peak area,20220918_LFX_AB_64_P10F04_1_POS.mzML Peak area,20220918_LFX_AB_78_P10G06_1_POS.mzML Peak area,20220918_LFX_AB_69_P10F09_1_POS.mzML Peak area,20220918_LFX_AB_63_P10F03_1_POS.mzML Peak area,20220918_LFX_AB_55_P10E07_1_POS.mzML Peak area,20220918_LFX_AB_74_P10G02_1_POS.mzML Peak area,20220918_LFX_AB_62_P10F02_1_POS.mzML Peak area,20220918_LFX_AB_42_P10D06_1_POS.mzML Peak area,20220918_LFX_AB_68_P10F09_1_POS.mzML Peak area,20220918_LFX_AB_57_P10E09_1_POS.mzML Peak area,20220918_LFX_AB_65_P10F05_1_POS.mzML Peak area,20220918_LFX_AB_59_P10E11_1_POS.mzML Peak area,20220918_LFX_AB_40_P10D04_1_POS.mzML Peak area,20220918_LFX_AB_71_P10F11_1_POS.mzML Peak area,20220918_LFX_AB_61_P10F01_1_POS.mzML Peak area,20220918_LFX_AB_85_P10H01_1_POS.mzML Peak area,20220918_LFX_AB_79_P10G07_1_POS.mzML Peak area,20220918_LFX_AB_75_P10G03_1_POS.mzML Peak area,20220918_LFX_AB_89_P10H05_1_POS.mzML Peak area,20220918_LFX_AB_72_P10F12_1_POS.mzML Peak area,20220918_LFX_AB_56_P10E08_1_POS.mzML Peak area,20220918_LFX_AB_95_P10H11_1_POS.mzML Peak area,20220918_LFX_AB_83_P10G11_1_POS.mzML Peak area,20220918_LFX_AB_60_P10E12_1_POS.mzML Peak area,20220918_LFX_AB_92_P10H08_1_POS.mzML Peak area,20220918_LFX_AB_77_P10G05_1_POS.mzML Peak area,20220918_LFX_AB_66_P10F06_1_POS.mzML Peak area,20220918_LFX_AB_76_P10G04_1_POS.mzML Peak area,20220918_LFX_AB_84_P10G12_1_POS.mzML Peak area,20220918_LFX_AB_81_P10G09_1_POS.mzML Peak area,20220918_LFX_AB_80_P10G08_1_POS.mzML Peak area,20220918_LFX_AB_90_P10H06_1_POS.mzML Peak area,20220918_LFX_AB_91_P10H07_1_POS.mzML Peak area,20220918_LFX_AB_88_P10H04_1_POS.mzML Peak area,20220918_LFX_AB_87_P10H03_1_POS.mzML Peak area,20220918_LFX_AB_96_P10H12_1_POS.mzML Peak area,20220918_LFX_AB_93_P10H09_1_POS.mzML Peak area,20220918_LFX_AB_94_P10H10_1_POS.mzML Peak area,20220918_LFX_AB_82_P10G10_1_POS.mzML Peak area,20220918_LFX_AB_86_P10H02_1_POS.mzML Peak area,
1,125.4906769631541,0.3065497,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445616.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,155.99114274650825,0.31172326,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599482.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,116.48525340769491,0.3124189,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,136.99814060643257,0.31851265,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218622.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,408.8864590994448,0.3313653,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864446.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662764.7,0,0,0,0,0,0,0,0,0,0,0,0,
8,401.97308827393385,0.34232357,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858939.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,152.07062101622233,0.3454346,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963602.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,279.9694199669531,0.35170063,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516817.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,387.00855528352747,0.35170063,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252556.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,403.0348386178954,0.35234067,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529465.4,0,0,0,0,0,0,0,0,0,0,0,0,
14,165.05493685104707,0.3532928,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683372.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,162.05799464742609,0.35368484,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678407.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,219.13427067345512,0.35558945,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449875.56,0,
