id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
136_P10_SIRIUS_163	C7H15NO2	[M + Na]+	C7H15NO2	Fatty acids	0.6513705849647522	Fatty Acids and Conjugates	0.5415874123573303	Oxygenated hydrocarbons	0.3380197584629059	Fatty acids and conjugates	0.7031782865524292			Fatty acids and conjugates	0.7031782865524292	Fatty Acyls	0.6183047890663147	Lipids and lipid-like molecules	0.5094572901725769	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
409_P10_SIRIUS_460	C7H8O3	[M + H]+	C7H8O3	Polyketides	0.9010404348373413	Cyclic polyketides	0.8845662474632263	2-pyrone derivatives	0.47245922684669495	Pyranones and derivatives	0.539257824420929			Pyranones and derivatives	0.539257824420929	Pyrans	0.5976503491401672	Organoheterocyclic compounds	0.9749904274940491	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid anhydrides; Carbonyl compounds; Furanones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
681_P10_SIRIUS_757	C8H9N	[M + H]+	C8H9N	Alkaloids	0.9707024693489075	Tryptophan alkaloids	0.7733142971992493	Simple indole alkaloids	0.6649155616760254	Indolines	0.9214457273483276			Indolines	0.9214457273483276	Indoles and derivatives	0.7812173366546631	Organoheterocyclic compounds	0.9883679747581482	Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Organonitrogen compounds; Indolines; Benzenoids; Amines; Secondary amines; Aralkylamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
816_P10_SIRIUS_906	C18H28O5	[M + H]+	C18H28O5	Polyketides	0.7345238924026489	Linear polyketides	0.7522112131118774	Open-chain polyketides	0.6256182193756104	Long-chain fatty acids	0.8598580360412598	Long-chain fatty acids	0.8598580360412598	Fatty acids and conjugates	0.8169993758201599	Fatty Acyls	0.7654317021369934	Lipids and lipid-like molecules	0.7666336894035339	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Beta hydroxy acids and derivatives; Carbonyl compounds; Long-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
544_P10_SIRIUS_606	C11H13BN4O5S	[M + H]+	C11H13BN4O5S	Carbohydrates	0.3652428686618805	Nucleosides	0.5510594248771667	Purine nucleos(t)ides	0.2558043599128723	Pyrimidines and pyrimidine derivatives	0.7893852591514587			Pyrimidines and pyrimidine derivatives	0.7893852591514587	Diazines	0.6952837109565735	Organoheterocyclic compounds	0.9988495111465454	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organometallic compounds; Boronic acid derivatives; Sulfonyls; Diazines; Organometalloid compounds; Aminosulfonyl compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3_P10_SIRIUS_5	C3H2F4	[M + Na]+	C3H2F4	Alkaloids	0.47034990787506104	Fatty acyls	0.35548895597457886	Halogenated hydrocarbons	0.24364706873893738	Hydrofluorocarbons	0.9326494336128235	Hydrofluorocarbons	0.9326494336128235	Alkyl chlorides	0.6350911259651184	Alkyl halides	0.9962736368179321	Organohalogen compounds	0.9999457597732544	Organic compounds; Organohalogen compounds; Alkyl chlorides; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Hydrofluorocarbons; Chemical entities
273_P10_SIRIUS_316	C22H36N4O9	[M + H]+	C22H36N4O9	Alkaloids	0.8807098269462585	Small peptides	0.19986431300640106	Linear peptides	0.24280832707881927	Alpha amino acid esters	0.8306185603141785	Amino acids and derivatives	0.9500365257263184	Amino acids, peptides, and analogues	0.962823212146759	Carboxylic acids and derivatives	0.9985029697418213	Organic acids and derivatives	0.999071478843689	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Lactams; Piperazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Hydroxamic acids; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Primary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Diazinanes; Amines; 2,5-dioxopiperazines; Fatty Acyls; Acetamides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
952_P10_SIRIUS_1059	C8H8O4S10	[M + K]+	C8H8O4S10	Alkaloids	0.5793604850769043	Tyrosine alkaloids	0.11065613478422165	Thia fatty acids	0.008698394522070885	Vinylogous thioesters	0.6591212153434753					Vinylogous thioesters	0.6591212153434753	Organic acids and derivatives	0.9828135967254639	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Sulfenyl compounds; Organic oxides; Vinylogous thioesters; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
137_P10_SIRIUS_164	C18H20N2O3	[M + H]+	C18H20N2O3	Amino acids and Peptides	0.9202054142951965	Small peptides	0.8506099581718445	Dipeptides	0.9744643568992615	Tyrosine and derivatives	0.8640686869621277	Amino acids and derivatives	0.989840030670166	Amino acids, peptides, and analogues	0.990752100944519	Carboxylic acids and derivatives	0.9887204766273499	Organic acids and derivatives	0.9942195415496826	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Dialkylamines; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Alkanolamines; Aralkylamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities
4_P10_SIRIUS_7	C14H8Cl2N2S3	[M + K]+	C14H8Cl2N2S3	Alkaloids	0.9510260224342346	Anthranilic acid alkaloids	0.6264632344245911	Pyrrole alkaloids	0.6054670810699463	Dichlorobenzenes	0.534259021282196	Chlorobenzenes	0.815155565738678	Halobenzenes	0.7122599482536316	Benzene and substituted derivatives	0.7815153002738953	Benzenoids	0.9990002512931824	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Organohalogen compounds; Organonitrogen compounds; Azoles; Aryl chlorides; Chlorobenzenes; Thioethers; Organochlorides; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Alkylarylthioethers; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities
