rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	1	0.9999632065971716	-186.5688336189674	0.9989949748743718	65.47242808204999	C25H40N6O8	[M + H]+	BKLLXAGXSSFBQP	InChI=1S/C25H40N6O8/c1-13(27-21(34)16-7-4-10-26-16)20(33)29-19(15(3)32)24(37)30-11-5-8-17(30)22(35)28-14(2)23(36)31-12-6-9-18(31)25(38)39/h13-19,26,32H,4-12H2,1-3H3,(H,27,34)(H,28,35)(H,29,33)(H,38,39)	null	CC(C(C(=O)N1CCCC1C(=O)NC(C)C(=O)N2CCCC2C(=O)O)NC(=O)C(C)NC(=O)C3CCCN3)O	-3.5999999	74331696	PubChem:(74331696);PubChem class - bio and metabolites	16777218	553.298242276891	57.642041570824176	428_P10_SIRIUS_480
2	1	1	1	0.9999169518868424	-250.18602532715485	0.9969849246231155	55.50130786773961	C25H40N6O8	[M + H]+	BKLLXAGXSSFBQP	InChI=1S/C25H40N6O8/c1-13(27-21(34)16-7-4-10-26-16)20(33)29-19(15(3)32)24(37)30-11-5-8-17(30)22(35)28-14(2)23(36)31-12-6-9-18(31)25(38)39/h13-19,26,32H,4-12H2,1-3H3,(H,27,34)(H,28,35)(H,29,33)(H,38,39)	null	CC(C(C(=O)N1CCCC1C(=O)NC(C)C(=O)N2CCCC2C(=O)O)NC(=O)C(C)NC(=O)C3CCCN3)O	-3.5999999	74331696	PubChem:(74331696);PubChem class - bio and metabolites	16777218	553.2981076319462	67.40979015827179	606_P10_SIRIUS_675
3	1	1	1	0.9995125657076341	-35.389316933134545	0.9994974874371858	24.251779314220954	C17H15N5O2	[M + H]+	ITXQTTPWGBFRNK	InChI=1S/C17H15N5O2/c23-16-14(5-10-7-19-13-4-2-1-3-12(10)13)21-17(24)15(22-16)6-11-8-18-9-20-11/h1-4,6-9,14,19H,5H2,(H,18,20)(H,21,24)(H,22,23)	null	C1=CC=C2C(=C1)C(=CN2)CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3	1.10000002	51136281;132934077;139586156	COCONUT:(CNP0247407);Natural Products:(UNPD92679);PubChem:(51136281 132934077 139586156);PubChem class - bio and metabolites;PubMed;Biocyc:(CPD-17379)	18909250	322.1296322355516	50.384492771700025	320_P10_SIRIUS_365
4	1	1	1	0.9994559602901443	-48.09122072093905	0.9994974874371858	45.20828929933897	C28H32N4O2	[M + H]+	QKUUVGNHUMKUAN	InChI=1S/C28H32N4O2/c1-16(33)31-14-12-27-18-9-5-6-10-19(18)29-24-28(27)13-15-32(25(27)31)22(23-26(2,3)34-23)17-8-7-11-20(21(17)28)30(24)4/h5-11,22-25,29H,12-15H2,1-4H3	null	CC(=O)N1CCC23C1N4CCC25C(NC6=CC=CC=C36)N(C7=CC=CC(=C57)C4C8C(O8)(C)C)C	3.4000001	10253552;56930994;76461847;135011754	COCONUT:(CNP0154476);KNApSAcK:(26691);Natural Products:(UNPD39035 UNPD115877);PubChem:(10253552 56930994 76461847 135011754);SuperNatural:(SN00358826 SN00328959);additional;MeSH:(56930994);Training Set;PubMed	3719254	457.2592246820368	174.37975147389807	2171_P10_SIRIUS_2400
5	1	1	1	0.9993985168218418	-58.00427044984199	0.9999999999999999	21.985112388213995	C17H15N5O2	[M + H]+	ITXQTTPWGBFRNK	InChI=1S/C17H15N5O2/c23-16-14(5-10-7-19-13-4-2-1-3-12(10)13)21-17(24)15(22-16)6-11-8-18-9-20-11/h1-4,6-9,14,19H,5H2,(H,18,20)(H,21,24)(H,22,23)	null	C1=CC=C2C(=C1)C(=CN2)CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3	1.10000002	51136281;132934077;139586156	COCONUT:(CNP0247407);Natural Products:(UNPD92679);PubChem:(51136281 132934077 139586156);PubChem class - bio and metabolites;PubMed;Biocyc:(CPD-17379)	18909250	322.1299308940502	184.7479248046875	2314_P10_SIRIUS_2557
6	1	1	1	0.9992740055931792	-19.823223411901225	0.9999999999999999	16.95709554915438	C14H15N3O2	[M + H]+	VDMMFAOUINDEGC	InChI=1S/C14H15N3O2/c1-8-13(18)17-12(14(19)16-8)6-9-7-15-11-5-3-2-4-10(9)11/h2-5,7-8,12,15H,6H2,1H3,(H,16,19)(H,17,18)	3-(1H-indol-3-ylmethyl)-6-methylpiperazine-2,5-dione	CC1C(=O)NC(C(=O)N1)CC2=CNC3=CC=CC=C32	1.20000005	15563753;15563754;15563755;70690043;70694258	COCONUT:(CNP0163616);Natural Products:(UNPD169299 UNPD93140 UNPD89215 UNPD193951);PubChem:(15563753 15563754 15563755 70690043 70694258);ZINC bio:(ZINC13413562 ZINC13413565 ZINC13413568 ZINC13413571);additional;Training Set;PubMed	2678850	258.1235641329821	70.32662630081177	663_P10_SIRIUS_738
7	1	1	1	0.9991814170543318	-1.4710260443403196	0.9999999999999999	33.04544816880146	C10H18N2O3S	[M + H]+	DZMGFGQBRYWJOR	InChI=1S/C10H18N2O3S/c1-16-6-4-7(11)9(13)12-5-2-3-8(12)10(14)15/h7-8H,2-6,11H2,1H3,(H,14,15)	Methionylproline	CSCCC(C(=O)N1CCCC1C(=O)O)N	-0.206633881	3472451;7282375;7282376;11893571;11893572;40489097;40489099;61158603;104907978	HMDB:(28981);PubChem:(3472451 7282375 7282376 11893571 11893572 40489097 40489099 61158603 104907978);CHEBI:(73612);ZINC bio:(ZINC02522504 ZINC04556854 ZINC04556855 ZINC04556856);additional;PubChem class - bio and metabolites;Training Set;PubMed;Biocyc:(CPD0-2649)	17328234	247.1111534208935	40.61738377815345	169_P10_SIRIUS_201
8	1	1	1	0.9991167441885018	-1.8741786622262766	0.9999999999999999	29.03374948926196	C16H17N3O2	[M + H]+	RYFZBPVMVYTEKZ	InChI=1S/C16H17N3O2/c20-15-14-6-3-7-19(14)16(21)13(18-15)8-10-9-17-12-5-2-1-4-11(10)12/h1-2,4-5,9,13-14,17H,3,6-8H2,(H,18,20)	Brevianamide F	C1CC2C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43	1.5	181567;434562;11659211;10221424;36688660;36688661;137705750	ZINC bio:(ZINC01582158 ZINC01582159 ZINC01582160 ZINC01582161);additional;MeSH:(181567);PubMed;COCONUT:(CNP0164818);KNApSAcK:(11280);Natural Products:(UNPD7007 UNPD30169);PubChem:(181567 434562 11659211 10221424 36688660 36688661 137705750);CHEBI:(64530);PubChem class - bio and metabolites;KEGG:(C20563);Training Set;Biocyc:(CPD-15265)	19458422	284.13923970396553	98.34745645523071	1126_P10_SIRIUS_1246
9	1	1	1	0.9990924688082293	-1.8603628727662247	0.9999999999999999	26.631047731254608	C16H17N3O2	[M + H]+	RYFZBPVMVYTEKZ	InChI=1S/C16H17N3O2/c20-15-14-6-3-7-19(14)16(21)13(18-15)8-10-9-17-12-5-2-1-4-11(10)12/h1-2,4-5,9,13-14,17H,3,6-8H2,(H,18,20)	Brevianamide F	C1CC2C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43	1.5	181567;434562;11659211;10221424;36688660;36688661;137705750	ZINC bio:(ZINC01582158 ZINC01582159 ZINC01582160 ZINC01582161);additional;MeSH:(181567);PubMed;COCONUT:(CNP0164818);KNApSAcK:(11280);Natural Products:(UNPD7007 UNPD30169);PubChem:(181567 434562 11659211 10221424 36688660 36688661 137705750);CHEBI:(64530);PubChem class - bio and metabolites;KEGG:(C20563);Training Set;Biocyc:(CPD-15265)	19458422	284.13911983243656	166.3641893863678	2040_P10_SIRIUS_2259
10	1	1	1	0.9988805413124516	-0.25071482779186427	0.9999999999999999	66.51445832172601	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.1341237488178	39.01740771501332	158_P10_SIRIUS_188
