filename	ATTRIBUTE_Position	ATTRIBUTE_Type	ATTRIBUTE_Species	ATTRIBUTE_Genus	ATTRIBUTE_Family	ATTRIBUTE_Activity
20220918_LFX_AB_89_P10H05_1_POS.mzML	H05	Sample	Alternaria alternata	Alternaria 	unknown	0
20220918_LFX_AB_42_P10D06_1_POS.mzML	D06	Sample	Armillaria bulbosa	Armillaria 	unknown	0
20220918_LFX_AB_54_P10E06_1_POS.mzML	E06	Sample	Armillaria mellea	Armillaria 	unknown	0
20220918_LFX_AB_80_P10G08_1_POS.mzML	G08	Sample	Armillaria mellea	Armillaria 	unknown	0
20220918_LFX_AB_66_P10F06_1_POS.mzML	F06	Sample	Aspergillus pseudoglaucus	Aspergillus	unknown	0
20220918_LFX_AB_78_P10G06_1_POS.mzML	G06	Sample	Beauveria pseudobassiana	Beauveria 	unknown	0
20220918_LFX_AB_49_P10E01_1_POS.mzML	E01	Sample	Boeremia exigua var. exigua	Boeremia 	unknown	0
20220918_LFX_AB_45_P10D09_1_POS.mzML	D09	Sample	Botryosphaeria obtusa	Botryosphaeria	unknown	0
20220918_LFX_AB_83_P10G11_1_POS.mzML	G11	Sample	Botrytis cinerea GIK	Botrytis 	unknown	0
20220918_LFX_AB_69_P10F09_1_POS.mzML	F09	Sample	Cadophora cf. luteo-olivaceae	Cadophora	unknown	0
20220918_LFX_AB_93_P10H09_1_POS.mzML	H09	Sample	Cadophora melinii	Cadophora	unknown	0
20220918_LFX_AB_86_P10H02_1_POS.mzML	H02	Sample	Ceratocystis fimbriata	Ceratocystis	unknown	0
20220918_LFX_AB_57_P10E09_1_POS.mzML	E09	Sample	Chaetomium globosum	Chaetomium	unknown	0
20220918_LFX_AB_18_P10B06_1_POS.mzML	B06	Sample	Chalaropsis thielavioides	Chalaropsis	unknown	0
20220918_LFX_AB_90_P10H06_1_POS.mzML	H06	Sample	Ciboria viridifusca	Ciboria	unknown	0
20220918_LFX_AB_46_P10D10_1_POS.mzML	D10	Sample	Cladosporium cladosporioides	Cladosporium 	unknown	0
20220918_LFX_AB_26_P10C02_1_POS.mzML	C02	Sample	Clonostachys rosea	Clonostachys	unknown	0
20220918_LFX_AB_39_P10D03_1_POS.mzML	D03	Sample	Coryneum microsticum	Coryneum 	unknown	0
20220918_LFX_AB_07_P10A07_1_POS.mzML	A07	Sample	Cunninghamella elegans	Cunninghamella	unknown	0
20220918_LFX_AB_58_P10E10_1_POS.mzML	E10	Sample	Curvularia trifolii	Curvularia	unknown	0
20220918_LFX_AB_74_P10G02_1_POS.mzML	G02	Sample	Cylindrocarpon destructans	Cylindrocarpon	unknown	0
20220918_LFX_AB_17_P10B05_1_POS.mzML	B05	Sample	Dactylonectria alcacerensis	Dactylonectria	unknown	0
20220918_LFX_AB_85_P10H01_1_POS.mzML	H01	Sample	Dactylonectria alcacerensis	Dactylonectria	unknown	0
20220918_LFX_AB_67_P10F08_1_POS.mzML	F08	Sample	Debaryomyces fabryi	Debaryomyces	unknown	0
20220918_LFX_AB_52_P10E04_1_POS.mzML	E04	Sample	Diaporthe oncostoma	Diaporthe	unknown	0
20220918_LFX_AB_02_P10A02_1_POS.mzML	A02	Sample	Didymella arachidicola	Didymella	unknown	0
20220918_LFX_AB_62_P10F02_1_POS.mzML	F02	Sample	Diplocarpon rosae	Diplocarpon	unknown	0
20220918_LFX_AB_13_P10B01_1_POS.mzML	B01	Sample	Epicoccum nigrum	Epicoccum	unknown	0
20220918_LFX_AB_19_P10B07_1_POS.mzML	B07	Sample	Eremascus fertilis	Eremascus	unknown	0
20220918_LFX_AB_94_P10H10_1_POS.mzML	H10	Sample	Eurotium amstelodami	Eurotium 	unknown	0
20220918_LFX_AB_44_P10D08_1_POS.mzML	D08	Sample	Eurotium chevalieri	Eurotium 	unknown	0
20220918_LFX_AB_14_P10B02_1_POS.mzML	B02	Sample	Eutypa lata	Eutypa	unknown	0
20220918_LFX_AB_95_P10H11_1_POS.mzML	H11	Sample	Exophiala oligosperma	Exophiala	unknown	0
20220918_LFX_AB_51_P10E03_1_POS.mzML	E03	Sample	Fomtiporia mediterranea	Fomtipori	unknown	0
20220918_LFX_AB_06_P10A06_1_POS.mzML	A06	Sample	Fusarium cf. decemcellulare	Fusarium	unknown	0
