CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4394	5976	1	0.922	-28.031
10047	13497	1	0.9256	-124.182
4394	6812	1	0.9524	-42.994
4081	4083	1	0.9927	-0.000
3091	3666	1	0.956	-18.011
4990	7878	1	0.9359	-60.021
4080	4085	1	0.953	-0.000
3666	4393	1	0.9358	-17.026
3663	3666	1	0.9704	-0.000
4086	4088	1	0.9518	-0.000
4086	6052	1	0.9639	-35.977
3091	3672	1	0.9284	-18.011
6052	6326	1	0.9689	-5.050
4393	13497	1	0.9263	-271.204
4057	5811	1	0.9405	-32.121
4079	4086	1	0.9566	-0.000
3663	4459	1	0.9343	-18.010
3091	3095	1	0.9653	-0.000
4057	4081	1	0.973	-0.095
4991	7745	1	0.9299	-56.063
4459	13497	1	0.9262	-270.220
3091	6812	1	0.9333	-78.032
4081	4085	1	0.973	-0.000
4087	6326	1	0.9708	-41.027
4078	4086	1	0.9476	-0.000
4079	4083	1	0.9648	-0.000
4459	5406	1	0.9587	-17.026
4459	6812	1	0.9632	-42.011
4078	4083	1	0.967	-0.000
4079	4088	1	0.9507	-0.000
3095	6812	1	0.9551	-78.031
3091	4459	1	0.9305	-36.021
4087	6052	1	0.9598	-35.977
3672	4393	1	0.9228	-17.026
4075	4988	1	0.939	-18.011
4081	6052	1	0.9728	-35.977
4057	4987	1	0.9533	-18.105
5406	13497	1	0.9693	-253.193
4079	6052	1	0.9565	-35.977
4987	6326	1	0.9628	-23.017
4081	4987	1	0.9623	-18.010
4988	7878	1	0.9424	-60.021
4930	6326	1	0.9591	-24.001
4057	6326	1	0.9734	-41.122
4394	5406	1	0.9354	-18.010
4086	4087	1	0.9581	0.000
3089	4459	1	0.9544	-36.021
3096	3672	1	0.9495	-18.011
4085	4087	1	0.954	-0.000
4081	4087	1	0.9705	-0.000
4057	4079	1	0.952	-0.095
3672	4991	1	0.9466	-28.031
5406	6812	1	0.9723	-24.984
6935	6936	1	0.9332	-0.000
4990	6935	1	0.9314	-35.037
3094	3672	1	0.9503	-18.011
4083	6326	1	0.9663	-41.027
3666	4987	1	0.9553	-28.031
3091	4256	1	0.9339	-32.026
4085	6326	1	0.9542	-41.027
4930	6052	1	0.9548	-18.951
4087	5811	1	0.9591	-32.026
3663	4987	1	0.9516	-28.032
4057	4930	1	0.9444	-17.121
4768	7745	1	0.9362	-60.058
4087	4987	1	0.9706	-18.010
4393	4459	1	0.9456	-0.984
3666	3672	1	0.948	-0.000
4080	4083	1	0.9587	-0.000
3666	4459	1	0.9407	-18.010
3095	3666	1	0.9706	-18.010
4079	4081	1	0.9723	-0.000
4083	4085	1	0.9774	0.000
3094	3096	1	0.964	0.000
4083	4086	1	0.9707	-0.000
3090	3093	1	0.9357	-0.000
4085	4086	1	0.9596	-0.000
3663	5406	1	0.9295	-35.037
4083	4987	1	0.9628	-18.010
3089	3666	1	0.9646	-18.011
3089	3095	1	0.959	-0.001
3089	3663	1	0.9639	-18.011
3091	3663	1	0.9399	-18.010
3663	3672	1	0.9352	-0.001
5811	6326	1	0.9548	-9.000
4987	5811	1	0.9556	-14.016
4079	4987	1	0.9733	-18.010
3096	4075	1	0.926	-28.031
4078	4081	1	0.9679	-0.000
3095	3663	1	0.9588	-18.010
3095	4086	1	0.9527	-28.032
4079	6326	1	0.9712	-41.027
4081	6326	1	0.9761	-41.027
4083	6052	1	0.9767	-35.977
3090	3098	1	0.9264	-0.001
4393	5406	1	0.9274	-18.010
3095	4459	1	0.9539	-36.021
4085	6052	1	0.9649	-35.977
3096	3098	1	0.9273	-0.000
4078	4085	1	0.9715	-0.000
4081	4086	1	0.9635	-0.000
4988	4990	1	0.9574	0.000
4079	4087	1	0.97	-0.000
3090	3096	1	0.9254	-0.000
4079	5811	1	0.9584	-32.027
4078	4930	1	0.9438	-17.026
4083	4087	1	0.9661	-0.000
4394	4459	1	0.9442	-0.983
4075	4990	1	0.9335	-18.011
4057	6052	1	0.9547	-36.072
3666	4991	1	0.9321	-28.032
4987	6052	1	0.9603	-17.967
6812	13497	1	0.9531	-228.209
3089	3091	1	0.9389	-0.000
3666	6812	1	0.9468	-60.021
3663	6812	1	0.9449	-60.021
3663	4393	1	0.9307	-17.027
4393	6812	1	0.9468	-42.995
4988	6935	1	0.9311	-35.037
4075	4078	1	0.9638	-0.000
4087	4088	1	0.9467	-0.000
5667	6834	2	0.8317	-351.183
12639	12972	3	0.8225	-15.993
12972	13493	3	0.8027	-31.990
12973	13705	3	0.7819	-47.985
13493	13705	3	0.83	-15.995
12973	12983	3	0.9382	-0.078
12972	12973	3	0.939	-0.000
12973	13493	3	0.8006	-31.989
13237	13493	3	0.7827	-15.995
12639	12973	3	0.8277	-15.994
12972	12983	3	0.9241	-0.078
1920	1944	4	0.9261	-0.052
1919	1940	4	0.8875	-0.054
1905	1943	4	0.8677	-1.059
1934	1942	4	0.894	-0.000
1921	1943	4	0.9588	-0.052
1909	1927	4	0.8895	-1.003
1939	1941	4	0.8946	0.000
1937	3260	4	0.8827	-42.011
1930	1936	4	0.8871	-0.000
1905	1912	4	0.8705	-0.075
1919	1920	4	0.9511	-0.002
1916	1936	4	0.8838	-0.113
3260	6181	4	0.9054	-60.021
1908	1909	4	0.8703	-0.000
1943	1947	4	0.9472	0.000
1929	1947	4	0.9435	-0.015
1939	1942	4	0.9459	0.000
1936	1938	4	0.9262	-0.000
3255	3260	4	0.8641	-0.002
1936	1942	4	0.9643	-0.000
1921	1940	4	0.9246	-0.052
1944	1947	4	0.9806	0.000
1919	1943	4	0.933	-0.054
1934	1936	4	0.8675	0.000
1931	1936	4	0.875	-0.000
1919	1921	4	0.9647	-0.002
1940	1944	4	0.9774	-0.000
1927	1929	4	0.9169	-0.017
1920	1921	4	0.97	0.000
1924	1929	4	0.9716	-0.023
1930	1939	4	0.8962	-0.001
1936	1941	4	0.882	-0.000
1901	1921	4	0.8711	-1.149
1938	1939	4	0.8932	0.000
1935	1937	4	0.8918	0.000
1934	1947	4	0.867	-0.000
1929	1943	4	0.9399	-0.015
1927	1940	4	0.9071	-0.032
1935	1950	4	0.9564	-0.000
1938	1947	4	0.929	-0.000
1934	1938	4	0.8847	-0.000
2823	3262	4	0.8992	-14.016
1920	1940	4	0.9339	-0.052
1924	1927	4	0.918	-0.006
3260	3262	4	0.9625	-0.000
1905	1924	4	0.9089	-1.021
1921	1929	4	0.9325	-0.036
1927	1947	4	0.8826	-0.032
1930	1942	4	0.9126	-0.001
1921	1947	4	0.9077	-0.052
1934	1939	4	0.8697	-0.000
1921	1927	4	0.9553	-0.020
1924	1947	4	0.9581	-0.038
1920	1943	4	0.9611	-0.052
1941	1942	4	0.907	0.000
1920	1927	4	0.9589	-0.020
1937	1945	4	0.9111	-0.000
1930	1941	4	0.8627	-0.001
1938	1942	4	0.9342	0.000
1921	1924	4	0.9382	-0.014
1931	1939	4	0.8789	-0.000
1921	1944	4	0.9175	-0.052
1916	1942	4	0.8793	-0.113
1931	1937	4	0.8774	-0.000
1929	1944	4	0.9493	-0.015
1920	1929	4	0.9351	-0.036
1920	1924	4	0.949	-0.014
1927	1944	4	0.8981	-0.032
1919	1944	4	0.8709	-0.054
1940	1943	4	0.9683	-0.000
1931	1942	4	0.874	-0.000
1901	1919	4	0.8862	-1.147
1931	1945	4	0.8832	-0.000
1931	1950	4	0.8918	-0.001
