row ID,row m/z,row retention time,LQ-01-61-08_pos.mzXML Peak area,LQ-01-61-09_pos.mzXML Peak area,LQ-01-61-15_pos.mzXML Peak area,LQ-01-61-05_pos.mzXML Peak area,LQ-01-61-12_pos.mzXML Peak area,LQ-01-61-22_pos.mzXML Peak area,LQ-01-61-27_pos.mzXML Peak area,LQ-01-61-10_pos.mzXML Peak area,LQ-01-61-06_pos.mzXML Peak area,LQ-01-61-02_pos.mzXML Peak area,LQ-01-61-01_pos.mzXML Peak area,LQ-01-61-16_pos.mzXML Peak area,LQ-01-61-13_pos.mzXML Peak area,LQ-01-61-04_pos.mzXML Peak area,LQ-01-61-03_pos.mzXML Peak area,LQ-01-61-11_pos.mzXML Peak area,LQ-01-61-42_pos.mzXML Peak area,LQ-01-61-28_pos.mzXML Peak area,LQ-01-61-21_pos.mzXML Peak area,LQ-01-61-23_pos.mzXML Peak area,LQ-01-61-47_pos.mzXML Peak area,LQ-01-61-18_pos.mzXML Peak area,LQ-01-61-26_pos.mzXML Peak area,LQ-01-61-29_pos.mzXML Peak area,LQ-01-61-44_pos.mzXML Peak area,LQ-01-61-46_pos.mzXML Peak area,LQ-01-61-30_pos.mzXML Peak area,LQ-01-61-17_pos.mzXML Peak area,LQ-01-61-32_pos.mzXML Peak area,LQ-01-61-25_pos.mzXML Peak area,LQ-01-61-14_pos.mzXML Peak area,LQ-01-61-62_pos.mzXML Peak area,LQ-01-61-57_pos.mzXML Peak area,LQ-01-61-60_pos.mzXML Peak area,LQ-01-61-39_pos.mzXML Peak area,LQ-01-61-33_pos.mzXML Peak area,LQ-01-61-77_pos.mzXML Peak area,LQ-01-61-38_pos.mzXML Peak area,LQ-01-61-43_pos.mzXML Peak area,LQ-01-61-07_pos.mzXML Peak area,LQ-01-61-61_pos.mzXML Peak area,LQ-01-61-36_pos.mzXML Peak area,LQ-01-61-48_pos.mzXML Peak area,LQ-01-61-49_pos.mzXML Peak area,LQ-01-61-20_pos.mzXML Peak area,LQ-01-61-19_pos.mzXML Peak area,LQ-01-61-40_pos.mzXML Peak area,LQ-01-61-24_pos.mzXML Peak area,LQ-01-61-34_pos.mzXML Peak area,LQ-01-61-51_pos.mzXML Peak area,LQ-01-61-31_pos.mzXML Peak area,LQ-01-61-76_pos.mzXML Peak area,LQ-01-61-64_pos.mzXML Peak area,LQ-01-61-52_pos.mzXML Peak area,LQ-01-61-68_pos.mzXML Peak area,LQ-01-61-50_pos.mzXML Peak area,LQ-01-61-78_pos.mzXML Peak area,LQ-01-61-63_pos.mzXML Peak area,LQ-01-61-67_pos.mzXML Peak area,LQ-01-61-54_pos.mzXML Peak area,LQ-01-61-69_pos.mzXML Peak area,LQ-01-61-53_pos.mzXML Peak area,LQ-01-61-45_pos.mzXML Peak area,LQ-01-61-59_pos.mzXML Peak area,LQ-01-61-58_pos.mzXML Peak area,LQ-01-61-41_pos.mzXML Peak area,LQ-01-61-66_pos.mzXML Peak area,LQ-01-61-35_pos.mzXML Peak area,LQ-01-61-71_pos.mzXML Peak area,LQ-01-61-72_pos.mzXML Peak area,LQ-01-61-70_pos.mzXML Peak area,LQ-01-61-65_pos.mzXML Peak area,LQ-01-61-75_pos.mzXML Peak area,LQ-01-61-37_pos.mzXML Peak area,LQ-01-61-73_pos.mzXML Peak area,LQ-01-61-74_pos.mzXML Peak area,LQ-01-61-55_pos.mzXML Peak area,LQ-01-61-56_pos.mzXML Peak area
1,100.9570748,0.37845474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30679.666,0,0,0,0,20966.887,22393.635,0,21762.91,0,0,0,0,0,0,0,21140.902,29806.65,0,0,0,0,0,0,0,0,23054.43,0,0,0,0,0,0,0,0,0,0,0
2,105.0332073,4.6156187,0,0,0,0,0,0,0,0,0,0,0,103591.625,0,0,0,0,0,0,0,0,0,329732,0,0,0,0,0,113141.92,0,0,0,0,0,0,0,0,0,72187.195,0,288601.88,0,0,0,0,0,155349.73,0,0,0,0,636724.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66015.55,0,0,38017.824,0
3,105.0335724,3.5209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86737.75
4,105.0339784,5.490725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217045.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571533.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,105.0341364,5.3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44222.11,58563.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207954.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,105.0331288,4.3652625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45486.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38513.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27320.273,157695.45
7,105.0336984,4.217585,0,0,0,0,0,0,0,0,0,0,80343.53,0,0,212558.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197649.62,0,0,0,0,0,685289.6,0,0,0,0,116256.42,0,0,0,0,0,0,0,0,0,0,0,0,0,24276.564,0,0,0,0,0,0,0,0,41666.85,0,0,501243.5,326384.75
8,105.0317214,5.251991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21579.066,0,0,0,0,0,32630.582,53731.316,0,0,0,0,0,0,0,0,0,0,27719.979,0,0,0,0,0,0,0,0,0,0,114863.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15450.832,0,0,0,82053.28
9,105.0330267,4.941062,0,0,0,0,0,0,0,0,0,0,0,27078.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20340.531,19488.621,0,0,0,0,0,0,0,0,0,0,204410.31,0,0,0,0,0,19223.043,0,0,0,0,203915.94,0,0,0,0,0,0,0,0,0,0,0,0,0,29057.848,0,0,0,0,0,0,0,0,0,0,0,0,227703.72
10,105.0331583,1.7507833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121641.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
