id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
348_Celastraceae_pos_sirius_red_349	C8H9N3	[M + H]+	C8H9N3	Alkaloids	0.9886255264282227	Nicotinic acid alkaloids	0.9389369487762451	Pyridine alkaloids	0.9083402156829834	Pyrimidines and pyrimidine derivatives	0.9812259078025818			Pyrimidines and pyrimidine derivatives	0.9812259078025818	Diazines	0.9969375133514404	Organoheterocyclic compounds	0.9999556541442871	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Diazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
174_Celastraceae_pos_sirius_red_175	C8H7NO	[M + H]+	C8H7NO	Alkaloids	0.9456630349159241	Tryptophan alkaloids	0.3841310739517212	Simple indole alkaloids	0.5167003273963928	Benzene and substituted derivatives	0.5079872012138367					Benzene and substituted derivatives	0.5079872012138367	Benzenoids	0.9880008101463318	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
87_Celastraceae_pos_sirius_red_88	C9H12	[M + H]+	C9H12	Terpenoids	0.9517752528190613	Monoterpenoids	0.9209214448928833	Menthane monoterpenoids	0.3558076024055481	Polycyclic hydrocarbons	0.6794707179069519					Polycyclic hydrocarbons	0.6794707179069519	Hydrocarbons	1.0	Organic compounds; Hydrocarbons; Olefins; Cyclic olefins; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Branched unsaturated hydrocarbons; Chemical entities
1_Celastraceae_pos_sirius_red_2	C7H4O	[M + H]+	C7H4O	Shikimates and Phenylpropanoids	0.8756806254386902	Phenolic acids (C6-C1)	0.683625340461731	Shikimic acids and derivatives	0.2022945135831833	Benzoyl derivatives	0.9113925099372864			Benzoyl derivatives	0.9113925099372864	Benzene and substituted derivatives	0.9603980183601379	Benzenoids	0.9980974793434143	Organic compounds; Aldehydes; Benzoyl derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl-aldehydes; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
88_Celastraceae_pos_sirius_red_89	C9H12	[M + H]+	C9H12	Terpenoids	0.9688265323638916	Monoterpenoids	0.9522917866706848	Menthane monoterpenoids	0.21760232746601105	Polycyclic hydrocarbons	0.7263925671577454					Polycyclic hydrocarbons	0.7263925671577454	Hydrocarbons	1.0	Organic compounds; Hydrocarbons; Olefins; Cyclic olefins; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Branched unsaturated hydrocarbons; Chemical entities
175_Celastraceae_pos_sirius_red_176	C7H7N3	[M + H]+	C7H7N3	Alkaloids	0.9983450174331665	Nicotinic acid alkaloids	0.9258044958114624	Pyridine alkaloids	0.8672170639038086	Imidazopyrazines	0.5254977345466614					Imidazopyrazines	0.5254977345466614	Organoheterocyclic compounds	0.9999943971633911	Organic compounds; Organoheterocyclic compounds; Imidazoles; Pyridines and derivatives; Organonitrogen compounds; Azoles; Substituted imidazoles; N-substituted imidazoles; Imidazopyrazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
349_Celastraceae_pos_sirius_red_350	C2H6O5	[M + K]+	C2H6O5	Carbohydrates	0.8285183310508728	Saccharides	0.9930108189582825	Monosaccharides	0.9285233616828918	Polyols	0.7012108564376831	Polyols	0.7012108564376831	Alcohols and polyols	0.8284808993339539	Organooxygen compounds	0.9999994039535522	Organic oxygen compounds	1.0	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Polyols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
2_Celastraceae_pos_sirius_red_3	C7H4O	[M + H]+	C7H4O	Shikimates and Phenylpropanoids	0.8800449967384338	Phenolic acids (C6-C1)	0.6812875270843506	Shikimic acids and derivatives	0.16746895015239716	Benzoyl derivatives	0.9070855379104614			Benzoyl derivatives	0.9070855379104614	Benzene and substituted derivatives	0.9600040912628174	Benzenoids	0.9977331161499023	Organic compounds; Aldehydes; Benzoyl derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl-aldehydes; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
696_Celastraceae_pos_sirius_red_698	C10H21NO	[M + H]+	C10H21NO	Fatty acids	0.7980608940124512	Fatty amides	0.6376309990882874	Primary amides	0.4828847348690033	Fatty Acyls	0.5927243828773499					Fatty Acyls	0.5927243828773499	Lipids and lipid-like molecules	0.6134793162345886	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
261_Celastraceae_pos_sirius_red_262	C8H12O2	[M + H]+	C8H12O2	Fatty acids	0.6182481050491333	Fatty esters	0.6123433709144592	Lactones	0.7587094306945801	Ketones	0.09235316514968872	Ketones	0.09235316514968872	Carbonyl compounds	0.955485999584198	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
