name,directoryName,pathway,pathwayProbability,superclass,superclassProbability,class,classProbability,ClassyFirePrediction,ClassyFirePredictionProbability
1,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/0_Celastraceae_pos_SIRIUS_1,Terpenoids,0.9954920411109924,Sesquiterpenoids,0.9445878863334656,Agarofuran sesquiterpenoids,0.983272910118103,Agarofurans,0.9999088644981384
11106,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10000_Celastraceae_pos_SIRIUS_11106,Terpenoids,0.9861689209938049,Triterpenoids,0.8847838640213013,N/A,0.0,12-hydroxysteroids,0.5340206623077393
11107,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10001_Celastraceae_pos_SIRIUS_11107,Terpenoids,0.9287751913070679,Sesquiterpenoids,0.9558132290840149,Drimane sesquiterpenoids,0.833584189414978,Dicarboxylic acids and derivatives,0.6459734439849854
11108,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10002_Celastraceae_pos_SIRIUS_11108,Terpenoids,0.9964135885238647,Triterpenoids,0.8963293433189392,N/A,0.0,Triterpenoids,0.5548102259635925
11109,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10003_Celastraceae_pos_SIRIUS_11109,Terpenoids,0.9707411527633667,Triterpenoids,0.9032072424888611,Oleanane triterpenoids,0.8385336995124817,Triterpenoids,0.9790622591972351
11111,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10004_Celastraceae_pos_SIRIUS_11111,Terpenoids,0.9721460342407227,Triterpenoids,0.627314031124115,Ursane and Taraxastane triterpenoids,0.3717310428619385,Hydroxysteroids,0.6538220047950745
11113,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10005_Celastraceae_pos_SIRIUS_11113,Terpenoids,0.7598955631256104,N/A,0.0,N/A,0.0,Hydroxysteroids,0.7119519114494324
11114,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10006_Celastraceae_pos_SIRIUS_11114,Terpenoids,0.9747085571289062,Steroids,0.9902352094650269,Cholane steroids,0.9583929181098938,"Bile acids, alcohols and derivatives",0.8751979470252991
11118,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10009_Celastraceae_pos_SIRIUS_11118,Terpenoids,0.9921791553497314,Triterpenoids,0.887889564037323,N/A,0.0,Triterpenoids,0.7903704643249512
1059,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/1000_Celastraceae_pos_SIRIUS_1059,Fatty acids,0.9984362125396729,Fatty Acids and Conjugates,0.6623782515525818,N/A,0.0,Long-chain fatty acids,0.9039424657821655
11119,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10010_Celastraceae_pos_SIRIUS_11119,Terpenoids,0.606626570224762,Steroids,0.14422442018985748,Cholane steroids,0.44928064942359924,Hydroxysteroids,0.6513169407844543
11120,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10011_Celastraceae_pos_SIRIUS_11120,Terpenoids,0.5188199281692505,N/A,0.0,N/A,0.0,Cyclic alcohols and derivatives,0.7101791501045227
11121,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10012_Celastraceae_pos_SIRIUS_11121,Fatty acids,0.9988280534744263,Fatty amides,0.9787285923957825,N-acyl amines,0.9276763200759888,Phenylalanine and derivatives,0.995018720626831
11124,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10015_Celastraceae_pos_SIRIUS_11124,Polyketides,0.8349907994270325,Macrolides,0.7696480751037598,Macrolide lactones,0.4584053158760071,Macrolides and analogues,0.9256568551063538
11125,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10016_Celastraceae_pos_SIRIUS_11125,Terpenoids,0.9920700788497925,Triterpenoids,0.9501358866691589,Oleanane triterpenoids,0.7335640788078308,Triterpenoids,0.9743820428848267
11126,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10017_Celastraceae_pos_SIRIUS_11126,Polyketides,0.711249053478241,Phloroglucinols,0.39964041113853455,Acyl phloroglucinols,0.40285852551460266,Benzenediols,0.6055782437324524
11127,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10018_Celastraceae_pos_SIRIUS_11127,Terpenoids,0.9989188313484192,Triterpenoids,0.9956384301185608,Ursane and Taraxastane triterpenoids,0.3325006663799286,Triterpenoids,0.982099175453186
11128,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10019_Celastraceae_pos_SIRIUS_11128,Terpenoids,0.88933265209198,Triterpenoids,0.7079514265060425,N/A,0.0,"Amino acids, peptides, and analogues",0.7276709079742432
11129,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10020_Celastraceae_pos_SIRIUS_11129,Fatty acids,0.9814042448997498,Glycerolipids,0.7696307301521301,N/A,0.0,Fatty acid esters,0.7946618795394897
11132,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10022_Celastraceae_pos_SIRIUS_11132,Terpenoids,0.8645464181900024,Triterpenoids,0.8206921815872192,N/A,0.0,Triterpenoids,0.5190762877464294
11133,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10023_Celastraceae_pos_SIRIUS_11133,Terpenoids,0.97896808385849,Triterpenoids,0.8709948658943176,N/A,0.0,Triterpenoids,0.8571279048919678
11134,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10024_Celastraceae_pos_SIRIUS_11134,Fatty acids,0.9820601344108582,N/A,0.0,N/A,0.0,Long-chain fatty alcohols,0.5845291018486023
11140,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10026_Celastraceae_pos_SIRIUS_11140,Terpenoids,0.5596411228179932,N/A,0.0,N/A,0.0,Fatty Acyls,0.5678082704544067
11141,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10027_Celastraceae_pos_SIRIUS_11141,Terpenoids,0.985284686088562,Steroids,0.8564335703849792,Vitamin D2 and derivatives,0.8712158203125,Steroids and steroid derivatives,0.8859293460845947
11143,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10028_Celastraceae_pos_SIRIUS_11143,Fatty acids,0.9946007132530212,Spingolipids,0.36868467926979065,N/A,0.0,"Amino acids, peptides, and analogues",0.5880393981933594
11144,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10029_Celastraceae_pos_SIRIUS_11144,Terpenoids,0.30629387497901917,Sesquiterpenoids,0.38197192549705505,N/A,0.0,Beta hydroxy acids and derivatives,0.5268299579620361
11145,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10030_Celastraceae_pos_SIRIUS_11145,Shikimates and Phenylpropanoids,0.9276618957519531,N/A,0.0,N/A,0.0,Chromones,0.8587624430656433
11146,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10031_Celastraceae_pos_SIRIUS_11146,Terpenoids,0.9866941571235657,N/A,0.0,N/A,0.0,Lipids and lipid-like molecules,0.9457165002822876
11147,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10032_Celastraceae_pos_SIRIUS_11147,Fatty acids,0.9432908296585083,Fatty Acids and Conjugates,0.5323700308799744,N/A,0.0,Fatty Acyls,0.5122535824775696
11148,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10033_Celastraceae_pos_SIRIUS_11148,Terpenoids,0.9813282489776611,Triterpenoids,0.9688451886177063,Ursane and Taraxastane triterpenoids,0.5123527646064758,Triterpenoids,0.9136205315589905
11149,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10034_Celastraceae_pos_SIRIUS_11149,Terpenoids,0.9992125630378723,Triterpenoids,0.9876806735992432,Dammarane and Protostane triterpenoids,0.4167501926422119,Triterpenoids,0.994441568851471
11151,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10035_Celastraceae_pos_SIRIUS_11151,Terpenoids,0.9976875185966492,Steroids,0.591753363609314,N/A,0.0,3-hydroxysteroids,0.6063169240951538
11152,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10036_Celastraceae_pos_SIRIUS_11152,Fatty acids,0.5272045731544495,N/A,0.0,N/A,0.0,Benzene and substituted derivatives,0.5726497173309326
11153,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/10037_Celastraceae_pos_SIRIUS_11153,Shikimates and Phenylpropanoids,0.6629780530929565,Phenolic acids (C6-C1),0.32575657963752747,Simple phenolic acids,0.3335379958152771,Phenolic glycosides,0.5140137672424316
