shared name	CAN_name	CAN_molecularFormula	CAN_adduct	CAN_pathway	CAN_superclass	CAN_classe
1	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/0_Celastraceae_pos_SIRIUS_1	C37H45NO12	[M-H2O+H]+	Terpenoids	Sesquiterpenoids	Agarofuran sesquiterpenoids
11106	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10000_Celastraceae_pos_SIRIUS_11106	C29H53NO7	[M+Na]+	Terpenoids	Triterpenoids	
11107	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10001_Celastraceae_pos_SIRIUS_11107	C19H26O6	[M+H]+	Terpenoids	Sesquiterpenoids	Drimane sesquiterpenoids
11108	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10002_Celastraceae_pos_SIRIUS_11108	C31H49NO6	[M-H4O2+H]+	Terpenoids	Triterpenoids	
11109	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10003_Celastraceae_pos_SIRIUS_11109	C39H59NO7	[M-H2O+H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
11111	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10004_Celastraceae_pos_SIRIUS_11111	C27H44O5	[M+Na]+	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids
11113	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10005_Celastraceae_pos_SIRIUS_11113	C34H56O9	[M-H2O+H]+	Terpenoids		
11114	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10006_Celastraceae_pos_SIRIUS_11114	C23H43NO3	[M+H3N+H]+	Terpenoids	Steroids	Cholane steroids
11118	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10009_Celastraceae_pos_SIRIUS_11118	C27H40O2	[M+H]+	Terpenoids	Triterpenoids	Lupane triterpenoids
1059	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1000_Celastraceae_pos_SIRIUS_1059	C18H39NO4	[M-H2O+H]+	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids
11119	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10010_Celastraceae_pos_SIRIUS_11119	C29H54N2O3	[M+K]+	Terpenoids	Steroids	Cholane steroids
11120	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10011_Celastraceae_pos_SIRIUS_11120	C20H23NO5	[M-H4O2+H]+	Terpenoids		
11121	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10012_Celastraceae_pos_SIRIUS_11121	C25H39NO3	[M+H]+	Fatty acids	Fatty amides	N-acyl amines
11124	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10015_Celastraceae_pos_SIRIUS_11124	C32H52O9	[M+H]+	Polyketides	Macrolides	Macrolide lactones
11125	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10016_Celastraceae_pos_SIRIUS_11125	C39H56O7	[M+Na]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
11126	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10017_Celastraceae_pos_SIRIUS_11126	C10H12O4	[M+H]+	Polyketides	Phloroglucinols	Acyl phloroglucinols
11127	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10018_Celastraceae_pos_SIRIUS_11127	C32H50O6	[M-H2O+H]+	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids
