rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	1	0.9919131291185199	-334.9981214523983	0.9999999999999999	140.29299961507846	C11H16BN2O2	[M + H]+	OAAOKMSHJIINGV	InChI=1S/C11H16BN2O2/c1-4-16-11(15)8-5-7(8)10-13-9(12-2)6-14(10)3/h6-8H,4-5H2,1-3H3	null	[B](C)C1=CN(C(=N1)C2CC2C(=O)OCC)C	0.0	71203888	PubChem:(71203888)	2	219.1422601373014	68.75371791422367	1982_Celastraceae_pos_sirius_red_2025
2	1	1	2	N/A	-185.7705801599136	0.9678391959798995	57.11095744587679	C10H13F2N	[M + H]+	OEPADLIFOMSLKH	InChI=1S/C10H13F2N/c1-2-13-8-10(11,12)9-6-4-3-5-7-9/h3-7,13H,2,8H2,1H3	null	CCNCC(C1=CC=CC=C1)(F)F	2.29999995	83108209	PubChem:(83108209)	2	186.109131282657	302.4815046787262	996_Celastraceae_pos_sirius_red_1007
3	1	1	2	0.8195563720600054	-2.53094179739473	0.9060301507537689	12.541956504136289	C9H9NO3	[M + H]+	QIAFMBKCNZACKA	InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)	hippurate	C1=CC=C(C=C1)C(=O)NCC(=O)O	0.600287497	464;4402710;10702514;12196855;10080996;10081033;21724896;87502669;101624378;121225314;131875852	HMDB:(714 62583);SuperNatural:(SN00343500 SN00117207);ZINC bio:(ZINC00097685);additional;MeSH:(464);Plantcyc:(CPD-425);PubMed;NORMAN:(NS00013745);COCONUT:(CNP0076185 CNP0081667 CNP0201196);KNApSAcK:(30483);Natural Products:(UNPD111463);PubChem:(464 4402710 10702514 12196855 10080996 10081033 21724896 87502669 101624378 121225314 131875852);CHEBI:(18089 606565);PubChem class - bio and metabolites;KEGG:(C01586);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-425)	121563518	180.0653067946319	70.11300086975098	863_Celastraceae_pos_sirius_red_866
4	1	1	1	0.8130779864448571	-124.98791264715307	0.9999999999999999	13.251958360913378	C4H5BN2S	[M + H]+	SIDQSAVBDLFFHW	InChI=1S/C4H5BN2S/c5-1-3-2-6-4(8)7-3/h2H,1H2,(H2,6,7,8)	null	[B]CC1=CNC(=S)N1	0.0	59645359	PubChem:(59645359)	2	124.03809034355929	254.40098762512207	113_Celastraceae_pos_sirius_red_114
5	1	2	2	0.8076853607114233	-0.4382086819829868	0.9999999999999999	115.03457880648025	C9H16O4	[M + H]+	BDJRBEYXGGNYIS	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	Acnederm	C(CCCC(=O)O)CCCC(=O)O	1.71370327	2266;3801344;19347555;56933547;72735488;71309726;87110957	HMDB:(784);PubChem class - food;SuperNatural:(SN00386191 SN00002167);ZINC bio:(ZINC01531036);additional;HSDB:(123-99-9);MeSH:(2266);Plantcyc:(CPD0-1265);PubMed;NORMAN:(NS00011498);COCONUT:(CNP0086335 CNP0225848);KNApSAcK:(45634);Natural Products:(UNPD104030);PubChem:(2266 3801344 19347555 56933547 72735488 71309726 87110957);CHEBI:(48131 78208);PubChem class - bio and metabolites;KEGG:(C08261);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD0-1265)	255781758	189.1119762670775	116.9237517475845	1035_Celastraceae_pos_sirius_red_1049
6	1	2	2	N/A	-123.26220244669932	0.9999999999999999	115.03457880648025	C9H18O5	[M - H2O + H]+	GQRBBIWUNIVCRX	InChI=1S/C9H18O5/c10-6-7(4-5-9(13)14)2-1-3-8(11)12/h7,9-10,13-14H,1-6H2,(H,11,12)	null	C(CC(CCC(O)O)CO)CC(=O)O	-0.5	123919149	PubChem:(123919149)	2	189.1119762670775	116.9237517475845	1035_Celastraceae_pos_sirius_red_1049
7	1	1	1	0.7831706993371336	-9.851570681597849	0.9994974874371858	25.04235002272421	C8H4O3	[M + H]+	LGRFSURHDFAFJT	InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H	Wiltrol P	C1=CC=C2C(=C1)C(=O)OC2=O	1.29999995	6811;16212996;23560834;71751657;71309648;123741998	PubChem class - food;SuperNatural:(SN00132155);Maconda:(CON00081);ZINC bio:(ZINC08100883);additional;HSDB:(85-44-9);MeSH:(6811);PubMed;NORMAN:(NS00004500);COCONUT:(CNP0332462);Natural Products:(UNPD97762);PubChem:(6811 16212996 23560834 71751657 71309648 123741998);CHEBI:(36605);PubChem class - bio and metabolites;EcoCyc Mine;PubChem class - safety and toxic;Training Set;KEGG Mine	25991898726	149.02330765045102	179.77849960327148	350_Celastraceae_pos_sirius_red_351
8	1	1	1	0.7765203299501213	-8.982011500925063	0.9999999999999999	29.044798689912724	C8H4O3	[M + H]+	LGRFSURHDFAFJT	InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H	Wiltrol P	C1=CC=C2C(=C1)C(=O)OC2=O	1.29999995	6811;16212996;23560834;71751657;71309648;123741998	PubChem class - food;SuperNatural:(SN00132155);Maconda:(CON00081);ZINC bio:(ZINC08100883);additional;HSDB:(85-44-9);MeSH:(6811);PubMed;NORMAN:(NS00004500);COCONUT:(CNP0332462);Natural Products:(UNPD97762);PubChem:(6811 16212996 23560834 71751657 71309648 123741998);CHEBI:(36605);PubChem class - bio and metabolites;EcoCyc Mine;PubChem class - safety and toxic;Training Set;KEGG Mine	25991898726	149.02322879796168	215.56662362068892	352_Celastraceae_pos_sirius_red_353
9	1	2	2	0.7218786412376892	-1.5106784540382012	0.9999999999999999	76.78785254519502	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.05004193255436	342.7218997478485	876_Celastraceae_pos_sirius_red_879
10	1	2	2	N/A	-101.44147679489646	0.9999999999999999	76.78785254519502	C9H10O5	[M - H2O + H]+	PAFLSMZLRSPALU	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)	a-Hydroxyhydrocaffeic acid	C1=CC(=C(C=C1CC(C(=O)O)O)O)O	0.429084063	179536;439435;11600642;21677748;25202033;25203144	HMDB:(3503);SuperNatural:(SN00001768 SN00307533 SN00362387 SN00001767);ZINC bio:(ZINC00895534 ZINC00895535);MeSH:(439435 11600642);Plantcyc:(CPD-6982 CPD-7022);PubMed;COCONUT:(CNP0086056 CNP0265014);KNApSAcK:(31720);Natural Products:(UNPD194978 UNPD143674 UNPD171118);PubChem:(179536 439435 11600642 21677748 25202033 25203144);YMDB Mine;CHEBI:(71492 71572 58279 17807);PubChem class - bio and metabolites;KEGG:(C22038 C01207);PubChem class - safety and toxic;Biocyc:(3-34-DIHYDROXYPHENYLLACTATE CPD-6982 CPD-7022)	34446944638	181.05004193255436	342.7218997478485	876_Celastraceae_pos_sirius_red_879
