,organism_name,organism_taxonomy_06family,organism_taxonomy_08genus,organism_taxonomy_09species,Reported_comp_Family,Reported_comp_Genus,Reported_comp_Species
13827,Catha edulis,Celastraceae,Catha,Catha edulis,6942,133,133
14992,Tripterygium wilfordii,Celastraceae,Tripterygium,Tripterygium wilfordii,6942,1608,1169
15018,Tripterygium hypoglaucum,Celastraceae,Tripterygium,Tripterygium hypoglaucum,6942,1608,267
16505,Pristimera indica,Celastraceae,Pristimera,Pristimera indica,6942,18,5
16506,Reissantia indica,Celastraceae,Pristimera,Pristimera indica,6942,18,8
29778,Celastrus paniculatus,Celastraceae,Celastrus,Celastrus paniculatus,6942,910,85
31306,Euonymus alatus,Celastraceae,Euonymus,Euonymus alatus,6942,515,93
31309,Euonymus fortunei,Celastraceae,Euonymus,Euonymus fortunei,6942,515,23
31310,Euonymus grandiflorus,Celastraceae,Euonymus,Euonymus grandiflorus,6942,515,3
31318,Euonymus sanguineus,Celastraceae,Euonymus,Euonymus sanguineus,6942,515,1
81442,Gymnosporia senegalensis,Celastraceae,Gymnosporia,Gymnosporia senegalensis,6942,292,46
81696,Gymnosporia buchananii,Celastraceae,Gymnosporia,Gymnosporia buchananii,6942,292,25
85902,Celastrus orbiculatus,Celastraceae,Celastrus,Celastrus orbiculatus,6942,910,253
116184,Maytenus senegalensis,Celastraceae,Gymnosporia,Gymnosporia senegalensis,6942,292,31
129170,Salacia chinensis,Celastraceae,Salacia,Salacia chinensis,6942,509,307
246935,Euonymus indicus,Celastraceae,Euonymus,Euonymus alatus,6942,515,1
260659,Maytenus undata,Celastraceae,Maytenus,Maytenus undata,6942,398,14
334706,Pleurostylia africana,Celastraceae,Pleurostylia,Pleurostylia africana,6942,55,3
431940,Microtropis triflora,Celastraceae,Microtropis,Microtropis triflora,6942,214,15
666313,Euonymus fortunei var. radicans,Celastraceae,Euonymus,Euonymus fortunei,6942,515,1
668400,Euonymus maackii,Celastraceae,Euonymus,Euonymus maackii,6942,515,4
668401,Euonymus bungeanus,Celastraceae,Euonymus,Euonymus maackii,6942,515,4
674771,Celastrus paniculatus subsp. paniculatus,Celastraceae,Celastrus,Celastrus paniculatus,6942,910,2
