	filename	NPC#class	ATTRIBUTE_Species	ATTRIBUTE_Genus	ATTRIBUTE_Family	Chemical_class_reported_in_species	Chemical_class_reported_in_genus	New_CC_in_sp	New_CC_in_genus	CCs	CCg	CC
0	LQ-01-61-01_pos.mzXML		Catha edulis	Catha	Celastraceae	{'Fenchane monoterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Monosaccharides', 'Aminoacids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Pyridine alkaloids', 'Thujane monoterpenoids', 'Dihydroflavonols', 'Isoindole alkaloids', 'Pinane monoterpenoids', 'Monocyclic monoterpenoids', 'Acyclic monoterpenoids', 'Phenylalanine-derived alkaloids', 'Flavonols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Friedelane triterpenoids'}	{'Fenchane monoterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Monosaccharides', 'Aminoacids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Pyridine alkaloids', 'Thujane monoterpenoids', 'Dihydroflavonols', 'Isoindole alkaloids', 'Pinane monoterpenoids', 'Monocyclic monoterpenoids', 'Acyclic monoterpenoids', 'Phenylalanine-derived alkaloids', 'Flavonols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Friedelane triterpenoids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
1	LQ-01-61-02_pos.mzXML	{'Other Octadecanoids', 'Agarofuran sesquiterpenoids'}	Catha edulis	Catha	Celastraceae	{'Fenchane monoterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Monosaccharides', 'Aminoacids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Pyridine alkaloids', 'Thujane monoterpenoids', 'Dihydroflavonols', 'Isoindole alkaloids', 'Pinane monoterpenoids', 'Monocyclic monoterpenoids', 'Acyclic monoterpenoids', 'Phenylalanine-derived alkaloids', 'Flavonols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Friedelane triterpenoids'}	{'Fenchane monoterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Monosaccharides', 'Aminoacids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Pyridine alkaloids', 'Thujane monoterpenoids', 'Dihydroflavonols', 'Isoindole alkaloids', 'Pinane monoterpenoids', 'Monocyclic monoterpenoids', 'Acyclic monoterpenoids', 'Phenylalanine-derived alkaloids', 'Flavonols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Friedelane triterpenoids'}	{'Other Octadecanoids'}	{'Other Octadecanoids'}	0.5	0.5	1.0
2	LQ-01-61-03_pos.mzXML	{'Agarofuran sesquiterpenoids'}	Catha edulis	Catha	Celastraceae	{'Fenchane monoterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Monosaccharides', 'Aminoacids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Pyridine alkaloids', 'Thujane monoterpenoids', 'Dihydroflavonols', 'Isoindole alkaloids', 'Pinane monoterpenoids', 'Monocyclic monoterpenoids', 'Acyclic monoterpenoids', 'Phenylalanine-derived alkaloids', 'Flavonols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Friedelane triterpenoids'}	{'Fenchane monoterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Monosaccharides', 'Aminoacids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Pyridine alkaloids', 'Thujane monoterpenoids', 'Dihydroflavonols', 'Isoindole alkaloids', 'Pinane monoterpenoids', 'Monocyclic monoterpenoids', 'Acyclic monoterpenoids', 'Phenylalanine-derived alkaloids', 'Flavonols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Friedelane triterpenoids'}	set()	set()	0.5	0.5	1.0
3	LQ-01-61-04_pos.mzXML	{'Oleanane triterpenoids', 'Dammarane and Protostane triterpenoids', 'Agarofuran sesquiterpenoids'}	Catha edulis	Catha	Celastraceae	{'Fenchane monoterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Monosaccharides', 'Aminoacids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Pyridine alkaloids', 'Thujane monoterpenoids', 'Dihydroflavonols', 'Isoindole alkaloids', 'Pinane monoterpenoids', 'Monocyclic monoterpenoids', 'Acyclic monoterpenoids', 'Phenylalanine-derived alkaloids', 'Flavonols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Friedelane triterpenoids'}	{'Fenchane monoterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Monosaccharides', 'Aminoacids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Pyridine alkaloids', 'Thujane monoterpenoids', 'Dihydroflavonols', 'Isoindole alkaloids', 'Pinane monoterpenoids', 'Monocyclic monoterpenoids', 'Acyclic monoterpenoids', 'Phenylalanine-derived alkaloids', 'Flavonols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Friedelane triterpenoids'}	{'Oleanane triterpenoids', 'Dammarane and Protostane triterpenoids'}	{'Oleanane triterpenoids', 'Dammarane and Protostane triterpenoids'}	0.5	0.5	1.0
4	LQ-01-61-05_pos.mzXML		Celastrus orbiculatus	Celastrus	Celastraceae	{'Abeoabietane diterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Carotenoids (C40, β-β)', 'Labdane diterpenoids', 'Monocyclic monoterpenoids', 'Carotenoids (C40, β-Ψ)', 'Agarofuran sesquiterpenoids', 'Flavan-3-ols', 'Simple phenolic acids', 'Oleanane triterpenoids', 'Cadinane sesquiterpenoids', 'Eudesmane sesquiterpenoids', 'Monosaccharides', 'Lupane triterpenoids', 'Acyl phloroglucinols', 'Menthane monoterpenoids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Carotenoids (C40, Ψ-Ψ)', 'Flavonols', 'Carotenoids (C40, β-ε)', 'Podocarpane diterpenoids'}	{'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Abeoabietane diterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Carotenoids (C40, β-β)', 'Labdane diterpenoids', 'Monocyclic monoterpenoids', 'Carotenoids (C40, β-Ψ)', 'Agarofuran sesquiterpenoids', 'Flavan-3-ols', 'Branched fatty acids|Unsaturated fatty acids', 'Simple phenolic acids', 'Unsaturated fatty acids', 'Oleanane triterpenoids', 'Stigmastane steroids', 'Friedelane triterpenoids', 'Cadinane sesquiterpenoids', 'Triacylglycerols', 'Eudesmane sesquiterpenoids', 'Monosaccharides', 'Lupane triterpenoids', 'Acyl phloroglucinols', 'Menthane monoterpenoids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Carotenoids (C40, Ψ-Ψ)', 'Flavonols', 'Carotenoids (C40, β-ε)', 'Podocarpane diterpenoids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
5	LQ-01-61-06_pos.mzXML	{'Open-chain polyketides', 'Simple coumarins', 'Unsaturated fatty acids', 'Agarofuran sesquiterpenoids'}	Celastrus orbiculatus	Celastrus	Celastraceae	{'Abeoabietane diterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Carotenoids (C40, β-β)', 'Labdane diterpenoids', 'Monocyclic monoterpenoids', 'Carotenoids (C40, β-Ψ)', 'Agarofuran sesquiterpenoids', 'Flavan-3-ols', 'Simple phenolic acids', 'Oleanane triterpenoids', 'Cadinane sesquiterpenoids', 'Eudesmane sesquiterpenoids', 'Monosaccharides', 'Lupane triterpenoids', 'Acyl phloroglucinols', 'Menthane monoterpenoids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Carotenoids (C40, Ψ-Ψ)', 'Flavonols', 'Carotenoids (C40, β-ε)', 'Podocarpane diterpenoids'}	{'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Abeoabietane diterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Carotenoids (C40, β-β)', 'Labdane diterpenoids', 'Monocyclic monoterpenoids', 'Carotenoids (C40, β-Ψ)', 'Agarofuran sesquiterpenoids', 'Flavan-3-ols', 'Branched fatty acids|Unsaturated fatty acids', 'Simple phenolic acids', 'Unsaturated fatty acids', 'Oleanane triterpenoids', 'Stigmastane steroids', 'Friedelane triterpenoids', 'Cadinane sesquiterpenoids', 'Triacylglycerols', 'Eudesmane sesquiterpenoids', 'Monosaccharides', 'Lupane triterpenoids', 'Acyl phloroglucinols', 'Menthane monoterpenoids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Carotenoids (C40, Ψ-Ψ)', 'Flavonols', 'Carotenoids (C40, β-ε)', 'Podocarpane diterpenoids'}	{'Open-chain polyketides', 'Simple coumarins', 'Unsaturated fatty acids'}	{'Open-chain polyketides', 'Simple coumarins'}	0.5	0.5	1.0
6	LQ-01-61-07_pos.mzXML	{'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Open-chain polyketides', 'Hydroxy fatty acids', 'Labdane diterpenoids', 'Agarofuran sesquiterpenoids', 'Lupane triterpenoids', 'Cinnamic acids and derivatives', 'Dammarane and Protostane triterpenoids', 'Cholane steroids'}	Celastrus paniculatus	Celastrus	Celastraceae	{'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Unsaturated fatty acids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Triacylglycerols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Lupane triterpenoids', 'Flavan-3-ols', 'Friedelane triterpenoids', 'Branched fatty acids|Unsaturated fatty acids'}	{'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Abeoabietane diterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Carotenoids (C40, β-β)', 'Labdane diterpenoids', 'Monocyclic monoterpenoids', 'Carotenoids (C40, β-Ψ)', 'Agarofuran sesquiterpenoids', 'Flavan-3-ols', 'Branched fatty acids|Unsaturated fatty acids', 'Simple phenolic acids', 'Unsaturated fatty acids', 'Oleanane triterpenoids', 'Stigmastane steroids', 'Friedelane triterpenoids', 'Cadinane sesquiterpenoids', 'Triacylglycerols', 'Eudesmane sesquiterpenoids', 'Monosaccharides', 'Lupane triterpenoids', 'Acyl phloroglucinols', 'Menthane monoterpenoids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Carotenoids (C40, Ψ-Ψ)', 'Flavonols', 'Carotenoids (C40, β-ε)', 'Podocarpane diterpenoids'}	{'Lanostane, Tirucallane and Euphane triterpenoids', 'Open-chain polyketides', 'Labdane diterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Dammarane and Protostane triterpenoids', 'Cholane steroids'}	{'Lanostane, Tirucallane and Euphane triterpenoids', 'Open-chain polyketides', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Dammarane and Protostane triterpenoids', 'Cholane steroids'}	0.5	0.5	1.0
7	LQ-01-61-08_pos.mzXML	{'Cinnamic acids and derivatives', 'Other Octadecanoids', 'Agarofuran sesquiterpenoids'}	Celastrus paniculatus	Celastrus	Celastraceae	{'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Unsaturated fatty acids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Triacylglycerols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Lupane triterpenoids', 'Flavan-3-ols', 'Friedelane triterpenoids', 'Branched fatty acids|Unsaturated fatty acids'}	{'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Abeoabietane diterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Carotenoids (C40, β-β)', 'Labdane diterpenoids', 'Monocyclic monoterpenoids', 'Carotenoids (C40, β-Ψ)', 'Agarofuran sesquiterpenoids', 'Flavan-3-ols', 'Branched fatty acids|Unsaturated fatty acids', 'Simple phenolic acids', 'Unsaturated fatty acids', 'Oleanane triterpenoids', 'Stigmastane steroids', 'Friedelane triterpenoids', 'Cadinane sesquiterpenoids', 'Triacylglycerols', 'Eudesmane sesquiterpenoids', 'Monosaccharides', 'Lupane triterpenoids', 'Acyl phloroglucinols', 'Menthane monoterpenoids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Carotenoids (C40, Ψ-Ψ)', 'Flavonols', 'Carotenoids (C40, β-ε)', 'Podocarpane diterpenoids'}	{'Cinnamic acids and derivatives', 'Other Octadecanoids'}	{'Cinnamic acids and derivatives', 'Other Octadecanoids'}	0.5	0.5	1.0
8	LQ-01-61-09_pos.mzXML		Celastrus paniculatus	Celastrus	Celastraceae	{'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Unsaturated fatty acids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Triacylglycerols', 'Stigmastane steroids', 'Agarofuran sesquiterpenoids', 'Lupane triterpenoids', 'Flavan-3-ols', 'Friedelane triterpenoids', 'Branched fatty acids|Unsaturated fatty acids'}	{'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Abeoabietane diterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Carotenoids (C40, β-β)', 'Labdane diterpenoids', 'Monocyclic monoterpenoids', 'Carotenoids (C40, β-Ψ)', 'Agarofuran sesquiterpenoids', 'Flavan-3-ols', 'Branched fatty acids|Unsaturated fatty acids', 'Simple phenolic acids', 'Unsaturated fatty acids', 'Oleanane triterpenoids', 'Stigmastane steroids', 'Friedelane triterpenoids', 'Cadinane sesquiterpenoids', 'Triacylglycerols', 'Eudesmane sesquiterpenoids', 'Monosaccharides', 'Lupane triterpenoids', 'Acyl phloroglucinols', 'Menthane monoterpenoids', 'Menthane monoterpenoids|Monocyclic monoterpenoids', 'Carotenoids (C40, Ψ-Ψ)', 'Flavonols', 'Carotenoids (C40, β-ε)', 'Podocarpane diterpenoids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
9	LQ-01-61-10_pos.mzXML		Elaeodendron schweinfurthianum	Elaeodendron	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
