	filename	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	initial_F	filtered_F	Total_SF	Total_SNAF	FS	FC
13	LQ-01-61-14_pos.mzXML	Celastraceae	Evonymopsis	Evonymopsis sp	1312	3.0	2.0	2.0	0.67	0.67
22	LQ-01-61-23_pos.mzXML	Celastraceae	Euonymus	Euonymus cochinchinensis	598	14.0	11.0	9.0	0.79	0.64
6	LQ-01-61-07_pos.mzXML	Celastraceae	Celastrus	Celastrus paniculatus	1389	67.0	48.0	42.0	0.72	0.63
2	LQ-01-61-03_pos.mzXML	Celastraceae	Catha	Catha edulis	1321	16.0	12.0	10.0	0.75	0.62
30	LQ-01-61-31_pos.mzXML	Celastraceae	Euonymus	Euonymus frigidus	1425	39.0	27.0	23.0	0.69	0.59
71	LQ-01-61-72_pos.mzXML	Celastraceae	Salacia	Salacia letestuana	902	110.0	88.0	64.0	0.8	0.58
55	LQ-01-61-56_pos.mzXML	Celastraceae	Maytenus	Maytenus undata	1506	39.0	29.0	22.0	0.74	0.56
76	LQ-01-61-78_pos.mzXML	Celastraceae	Pristimera	Pristimera indica	727	26.0	15.0	14.0	0.58	0.54
72	LQ-01-61-73_pos.mzXML	Celastraceae	Tripterygium	Tripterygium hypoglaucum	1192	46.0	27.0	23.0	0.59	0.5
36	LQ-01-61-37_pos.mzXML	Celastraceae	Euonymus	Euonymus sanguineus	1655	12.0	11.0	6.0	0.92	0.5
41	LQ-01-61-42_pos.mzXML	Celastraceae	Loeseneriella	Loeseneriella concinna	716	19.0	9.0	9.0	0.47	0.47
21	LQ-01-61-22_pos.mzXML	Celastraceae	Euonymus	Euonymus cochinchinensis	674	13.0	11.0	6.0	0.85	0.46
3	LQ-01-61-04_pos.mzXML	Celastraceae	Catha	Catha edulis	1432	38.0	19.0	17.0	0.5	0.45
18	LQ-01-61-19_pos.mzXML	Celastraceae	Euonymus	Euonymus bockii	1331	19.0	8.0	8.0	0.42	0.42
73	LQ-01-61-74_pos.mzXML	Celastraceae	Tripterygium	Tripterygium wilfordii	1388	53.0	32.0	20.0	0.6	0.38
0	LQ-01-61-01_pos.mzXML	Celastraceae	Catha	Catha edulis	1138	26.0	10.0	10.0	0.38	0.38
54	LQ-01-61-55_pos.mzXML	Celastraceae	Maytenus	Maytenus undata	1430	19.0	12.0	7.0	0.63	0.37
23	LQ-01-61-24_pos.mzXML	Celastraceae	Euonymus	Euonymus dielsianus	1460	38.0	19.0	14.0	0.5	0.37
7	LQ-01-61-08_pos.mzXML	Celastraceae	Celastrus	Celastrus paniculatus	530	78.0	34.0	28.0	0.44	0.36
