filename,ATTRIBUTE_Family,ATTRIBUTE_Genus,ATTRIBUTE_Species,ATTRIBUTE_Organe,initial_F,filtered_F,Total_SF_npp,Total_SNAF_npp,FS_npp,FC_npp,Total_SF_pp,Total_SNAF_pp,FS_pp,FC_pp
LQ-01-61-01_pos.mzXML,Celastraceae,Catha,Catha edulis,Leaves,1138,26,7,7,0.27,0.27,10,10,0.38,0.38
LQ-01-61-02_pos.mzXML,Celastraceae,Catha,Catha edulis,Stems,1213,80,10,3,0.12,0.04,27,13,0.34,0.16
LQ-01-61-03_pos.mzXML,Celastraceae,Catha,Catha edulis,Roots,1321,16,6,6,0.38,0.38,12,10,0.75,0.62
LQ-01-61-04_pos.mzXML,Celastraceae,Catha,Catha edulis,Aerial parts,1432,38,6,5,0.16,0.13,19,17,0.5,0.45
LQ-01-61-05_pos.mzXML,Celastraceae,Celastrus,Celastrus orbiculatus,Stems,837,20,2,1,0.1,0.05,4,3,0.2,0.15
LQ-01-61-06_pos.mzXML,Celastraceae,Celastrus,Celastrus orbiculatus,Roots,1017,30,14,9,0.47,0.3,16,10,0.53,0.33
LQ-01-61-07_pos.mzXML,Celastraceae,Celastrus,Celastrus paniculatus,Seeds,1389,67,29,27,0.43,0.4,48,42,0.72,0.63
LQ-01-61-08_pos.mzXML,Celastraceae,Celastrus,Celastrus paniculatus,Leaves,530,78,16,16,0.21,0.21,34,28,0.44,0.36
LQ-01-61-09_pos.mzXML,Celastraceae,Celastrus,Celastrus paniculatus,Bark,370,40,8,8,0.2,0.2,11,11,0.28,0.28
LQ-01-61-10_pos.mzXML,Celastraceae,Elaeodendron,Elaeodendron schweinfurthianum,Leaves,1170,51,2,1,0.04,0.02,7,2,0.14,0.04
LQ-01-61-11_pos.mzXML,Celastraceae,Elaeodendron,Elaeodendron schweinfurthianum,Stems,1467,37,4,2,0.11,0.05,17,4,0.46,0.11
LQ-01-61-12_pos.mzXML,Celastraceae,Evonymopsis,Evonymopsis sp,Leaves,1013,13,0,0,0,0,2,2,0.15,0.15
