	annotation network number	LQ-01-61-01_pos.mzXML	retention time (min)	row m/z	adduct (ion identity)	row ID	neutral mass (ion identity)	Compound name (gnps)	adduct (gnps)	MF (sirius)	adduct (sirius)	Compound name (sirius)	NPC#pathway	NPC#superclass	NPC#class	annotation	status
838	7.0	0.17481441265456674	0.34	188.0931	['[2M-H2O+2H]2+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+ACN+H]+', '[M+ACN+H]+', '[M+ACN+H]+']	[227, 588, 588, 588, 588, 593, 593, 593, 593, 1101, 1101, 1101]	146.0627	['not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'C9H8O3', 'C9H8O3', 'C9H10O4', 'C9H10O4', 'C9H8O3', 'C9H8O3', 'C9H10O4', 'C9H10O4', 'C13H18O', 'C13H22O3', 'C13H20O2']	['not available', '[M + H]+', '[M + H]+', '[M - H2O + H]+', '[M - H2O + H]+', '[M + H]+', '[M + H]+', '[M - H2O + H]+', '[M - H2O + H]+', '[M + H]+', '[M - H4O2 + H]+', '[M - H2O + H]+']	['not available', 'coumarate', 'coumarate', 'Oprea1_302742', 'Oprea1_302742', 'coumarate', 'coumarate', 'ACMC-20anjv', 'ACMC-20anjv', 'not available', 'not available', 'not available']	['not available', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'not available', 'not available', 'not available']	['not available', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'not available', 'not available', 'not available']	['not available', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'not available', 'not available', 'not available']	non anotated	not interesting
15845	14884x		0.37	595.1437	['not available']	[14884]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15666	14705x		0.38	579.1496	['not available']	[14705]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
1073	735x	0.006775166113631105	0.38	173.0786	['not available', 'not available', 'not available']	[735, 735, 735]	not available	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['C12H18O3', 'C12H14O', 'C12H16O2']	['[M - H4O2 + H]+', '[M + H]+', '[M - H2O + H]+']	['not available', '2-ethyl-2-methyl-3H-inden-1-one', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	non anotated	not interesting
1330	912x	1.0	0.44	180.0633	['not available']	[912]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	specific non annotated
16007	15046x		0.51	611.1383	['not available']	[15046]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15844	14883x		0.52	595.1435	['not available']	[14883]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15661	14700x		0.54	579.1492	['not available']	[14700]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15846	14885x		0.66	595.1437	['not available']	[14885]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16008	15047x		0.66	611.1389	['not available']	[15047]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15660	14699x		0.69	579.1488	['not available']	[14699]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15847	14886x		0.76	595.144	['not available']	[14886]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15662	14701x		0.97	579.1493	['not available']	[14701]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15849	14888x		0.97	595.1444	['not available']	[14888]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15822	14861x		0.98	593.1284	['not available']	[14861]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15910	46.0		1.02	601.1321	['[M+H]+', '[M+Na]+']	[14703, 14949]	578.1425	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
