	annotation network number	LQ-01-61-23_pos.mzXML	retention time (min)	row m/z	row ID	adduct (ion identity)	neutral mass (ion identity)	annotation	status
6	7.0	0.0001666831680241078	0.34	188.0931	{593, 227, 588, 1101}	{'[M+ACN+H]+', '[M+NH4]+', '[2M-H2O+2H]2+'}	146.0627	non anotated	not interesting
3152	1116x	0.00024615720081111865	0.35	189.1134	{1116}	{nan}	0.0	non anotated	not interesting
10	13.0	0.000492264632791187	0.37	180.9469	{64, 915, 239}	{'[2M+K]+', '[M+HFA+H]+', '[M+HFA+Na]+'}	70.9928	non anotated	not interesting
11	14.0	0.0007030311053551232	0.37	221.9731	{2304, 386}	{'[2M-H2O+NH4]+', '[M+K]+'}	110.9775	non anotated	not interesting
6820	1965x	0.000572397732204155	0.38	213.9627	{1965}	{nan}	0.0	non anotated	not interesting
6903	2051x	0.00022367776664889392	0.38	215.9578	{2051}	{nan}	0.0	non anotated	not interesting
8782	447x	0.0004876413992078038	0.38	153.9595	{447}	{nan}	0.0	non anotated	not interesting
2375	1016x	0.00035002534794486526	0.38	184.4948	{1016}	{nan}	0.0	non anotated	not interesting
14	18.0	0.0005967204650425201	0.38	260.9557	{3496, 2977}	{'[M+Na]+', '[M+K]+'}	221.9921	non anotated	not interesting
15	19.0	0.00012929008455342592	0.38	189.0345	{150, 1111}	{'[M+Na]+', '[2M-CO2+NH4]+'}	107.4968	non anotated	not interesting
16	21.0	0.00039139155964333823	0.38	147.984	{347, 220}	{'[M+ACN+Na]+', '[2M+H]+'}	73.4878	non anotated	not interesting
6632	172x	0.00019459709995308573	0.39	134.5165	{172}	{nan}	0.0	non anotated	not interesting
7198	241x	0.0025532296510217753	0.39	140.0102	{241}	{nan}	0.0	non anotated	not interesting
9852	5779x	0.00018539991805857793	0.39	306.9916	{5779}	{nan}	0.0	non anotated	not interesting
10670	677x	0.0001965886865623694	0.39	168.4969	{677}	{nan}	0.0	non anotated	not interesting
7549	2851x	0.00033957730920133124	0.4	239.9576	{2851}	{nan}	0.0	non anotated	not interesting
6996	2160x	0.004404792244019042	0.4	219.0101	{2160}	{nan}	0.0	non anotated	not interesting
10402	645x	0.0010205687308166547	0.4	166.4892	{645}	{nan}	0.0	non anotated	not interesting
7154	2369x	0.0003345097845441783	0.41	223.962	{2369}	{nan}	0.0	non anotated	not interesting
3435	1153x	0.0002066537295957887	0.43	190.4984	{1153}	{nan}	0.0	non anotated	not interesting
8283	383x	6.378608925099417e-05	0.51	149.5259	{383}	{nan}	0.0	non anotated	not interesting
10658	6768x	0.0002420822371595953	0.54	322.9868	{6768}	{nan}	0.0	non anotated	not interesting
7051	223x	0.0008587818939196311	0.61	138.0585	{223}	{nan}	0.0	non anotated	not interesting
9764	5665x	0.000558665382727679	0.62	305.0205	{5665}	{nan}	0.0	non anotated	not interesting
7703	3043x	0.0003172663043962271	0.66	247.005	{3043}	{nan}	0.0	non anotated	not interesting
7058	224x	0.0006198186967007273	0.72	138.0585	{224}	{nan}	0.0	non anotated	not interesting
12120	8662x	0.0009227747611405354	0.82	370.9447	{8662}	{nan}	0.0	non anotated	not interesting
11271	7557x	0.0004084749029530138	1.03	339.1076	{7557}	{nan}	0.0	non anotated	not interesting
7827	321x	0.0003654077509147354	1.03	147.044	{321}	{nan}	0.0	non anotated	not interesting
10329	6365x	0.00019768859076065817	1.07	316.2121	{6365}	{nan}	0.0	non anotated	not interesting
52	80.0	0.0015327365748642279	1.17	601.1314	{14706, 14948}	{'[M+H]+', '[M+Na]+'}	578.1423	non anotated	not interesting
12447	9079x	0.00038872595038051954	1.17	387.066	{9079}	{nan}	0.0	non anotated	not interesting
10676	678x	0.00020891115007841995	1.18	169.0496	{678}	{nan}	0.0	non anotated	not interesting
10328	6364x	0.00031550379776266394	1.24	316.212	{6364}	{nan}	0.0	non anotated	not interesting
