	row ID	row m/z	retention time (min)	LQ-01-61-78_pos.mzXML	annotation	status	MF (sirius)	adduct (sirius)	Compound name (sirius)
0	681	169.0717	0.21	8.861821576557058e-05	non anotated	not interesting	C21H38O6	[M + H3N + H]+	1,2,3-Heptadecanetricarboxylic acid, 1-methyl ester, (2S,3S)-
1	328	147.0664	0.29	0.00021503060414585447	non anotated	not interesting	C18H28O3	[M - H2O + H]+	9-Oxo-10,12,15-odta
2	768	175.0979	0.32	0.0005726439777770044	non anotated	not interesting	C14H21NO7	[M + H]+	not available
3	683	169.0718	0.32	0.00017860068267723438	non anotated	not interesting	not available	not available	not available
4	1101	188.0931	0.33	0.0002811028274492846	non anotated	not interesting	C12H18O	[M + H]+	Geijerone
5	598	164.1183	0.33	0.00013701615654865582	non anotated	not interesting	C33H52O5	[M + Na]+	not available
6	802	176.0938	0.34	0.0005100751302585519	non anotated	not interesting	C17H30O6	[M + H]+	not available
7	479	156.0769	0.34	0.0005229810609335043	non anotated	not interesting	C12H20O5	[M + H]+	4-Oxododecanedioic acid
8	386	149.9432	0.37	0.000650887545852156	non anotated	not interesting	not available	not available	not available
9	915	180.9469	0.37	0.0006130614607646911	non anotated	not interesting	C13H16O4	[M - H2O + H]+	4-Allyl-2,6-dimethoxyphenyl acetate
10	239	139.9879	0.37	0.001203226075531818	non anotated	not interesting	C30H50O	[M - H2O + H]+	b-viscol
11	2304	221.9731	0.37	0.0008557288596920452	non anotated	not interesting	C31H44O6	[M + Na]+	not available
12	385	149.5262	0.37	0.0011056450578465916	non anotated	not interesting	C16H18O5	[M + H]+	6-(2-hydroxy-3-methylbut-3-enyl)-5,7-dimethoxychromen-2-one
13	447	153.9595	0.38	0.0004399060055170193	non anotated	not interesting	C9H14O2	[M + H3N + H]+	non-8-ynoic acid
14	646	166.5002	0.38	0.00034252210259176673	non anotated	not interesting	C28H44O7	[M - H2O + H]+	2,3,14-trihydroxy-10,13-dimethyl-17-(2,3,6-trihydroxy-6-methyl-5-methylideneheptan-2-yl)-2,3,4,5,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-6-one
15	347	147.984	0.38	0.0002724213294276963	non anotated	not interesting	C10H20O3	[M + Na]+	6-Hydroxy-3,7-dimethyloctanoate
16	503	158.5128	0.38	0.0004800935401221564	non anotated	not interesting	C13H22O	[M - H2O + H]+	Dihydro-alpha-ionone
17	343	147.5064	0.38	0.00021811245498970703	non anotated	not interesting	C30H50O	[M - H2O + H]+	B-Amyrin
18	449	153.9934	0.38	0.0004129807678931403	non anotated	not interesting	not available	not available	not available
19	808	176.9751	0.38	0.000301647831013235	non anotated	not interesting	C25H53N7O	[M + H]+	not available
20	202	136.5	0.38	0.0009939143029182819	non anotated	not interesting	not available	not available	not available
21	1016	184.4948	0.38	0.0002382882922206505	non anotated	not interesting	C14H26O4	[M - H2O + H]+	tetradecanedioate
22	1965	213.9627	0.38	0.000396198661361939	non anotated	not interesting	not available	not available	not available
23	150	130.4875	0.38	0.0002235277280962982	non anotated	not interesting	C21H20O7	[M + H3N + H]+	(5-benzoyloxy-1,2,6-trihydroxycyclohex-3-en-1-yl)methyl benzoate
24	3496	260.9557	0.38	0.00047272451106358674	non anotated	not interesting	C17H30O5	[M - H4O2 + H]+	not available
25	2051	215.9578	0.38	0.00014605262784936132	non anotated	not interesting	C25H26O6	[M + H]+	Euchrenone b7
26	241	140.0102	0.39	0.0015298816832154036	non anotated	not interesting	C27H28O11	[M + H3N + H]+	[(2R,3R,4S,5R,6S)-3,5-dihydroxy-2-(hydroxymethyl)-6-[2-[(1-hydroxy-6-oxocyclohex-2-ene-1-carbonyl)oxymethyl]phenoxy]oxan-4-yl] benzoate
27	6766	322.9864	0.39	0.00024526571957932396	non anotated	not interesting	not available	not available	not available
28	1049	185.9724	0.39	0.0001638585952360166	non anotated	not interesting	C29H42O8	[M - H4O2 + H]+	not available
29	172	134.5165	0.39	0.00012213647023320585	non anotated	not interesting	not available	not available	not available
30	677	168.4969	0.39	0.00017012987366027166	non anotated	not interesting	not available	not available	not available
31	2160	219.0101	0.4	0.003354246997068822	non anotated	not interesting	C28H38O7	[M - H4O2 + H]+	not available
32	645	166.4892	0.4	0.0006674413428563235	non anotated	not interesting	C28H44O3	[M + Na]+	not available
33	2851	239.9576	0.4	0.0007200632698459254	non anotated	not interesting	C26H48O5	[M - H2O + H]+	not available
34	1153	190.4984	0.43	0.0004519526107790817	non anotated	not interesting	C9H16O2	[M - H4O2 + H]+	5-Nonanolide
35	529	161.0262	0.43	0.0018635250882572194	non anotated	not interesting	C30H42O7	[M + H]+	Neuro_000053
36	912	180.0633	0.44	0.0002828075875617613	non anotated	not interesting	C29H52O7	[M - H2O + H]+	Certonardosterol P1
37	223	138.0585	0.61	0.0008786468695306676	non anotated	not interesting	not available	not available	not available
38	5665	305.0205	0.62	0.000249344339301586	non anotated	not interesting	C21H40O7	[M - H2O + H]+	[(2R)-2,3-dihydroxypropyl] (E)-8,11,12-trihydroxyoctadec-9-enoate
39	345	147.5066	0.83	0.00011994605506790176	non anotated	not interesting	C17H32O7	[M - H4O2 + H]+	not available
40	6365	316.2121	1.07	0.00016808766754585836	non anotated	not interesting	C19H34O10	[M + Na]+	1-Octen-3-ol-3-o-beta-D-xylopyranosyl(1->6)-beta-D-glucopyranoside
41	6364	316.212	1.24	0.0002009800007078013	non anotated	not interesting	not available	not available	not available
42	2033	215.1255	1.33	0.0004293674864030812	non anotated	not interesting	C30H50O4	[M - H4O2 + H]+	Soyasapogenol A
43	1306	195.0992	1.43	0.00013527891318961007	non anotated	not interesting	C29H34O7	[M + H]+	not available
44	413	153.0547	1.44	0.00040588206522629495	annotated	not interesting	C10H14O4	[M - H2O + H]+	(Z)-2-[[(Z)-2-methylbut-2-enoyl]oxymethyl]but-2-enoic acid
45	706	170.1176	1.47	0.0004645354043561186	non anotated	not interesting	not available	not available	not available
46	1104	188.1281	1.47	0.00027396109069708377	non anotated	not interesting	C25H38O7	[M + K]+	not available
