	sample_id	organism_family	organism_genus	organism_species	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	LC
0	VGF138_A02	Paeoniaceae	Paeonia	Paeonia suffruticosa	271.0	1058.0	1058	0.49623999999999996
1	VGF138_A03	Scrophulariaceae	Buddleja	Buddleja officinalis	133.0	557.0	2301	0.7095800000000001
2	VGF138_A04	Moraceae	Ficus	Ficus tikoua	0.0	895.0	6850	0.6839999999999999
3	VGF138_A05	Solanaceae	Nicandra	Nicandra physalodes	6.0	6.0	13616	0.72048
4	VGF138_A06	Polygalaceae	Asemeia	Asemeia extraaxillaris	0.0	74.0	1434	0.9565199999999999
5	VGF138_A07	Fabaceae	Sophora	Sophora davidii	140.0	2884.0	59372	0.0
6	VGF138_A08	Adoxaceae	Viburnum	Viburnum foetidum	27.0	926.0	1300	0.7617999999999999
7	VGF138_A09	Phyllanthaceae	Breynia	Breynia fruticosa	89.0	187.0	2089	0.83182
8	VGF138_A10	Fabaceae	Codariocalyx	Codariocalyx gyroides	0.0	0.0	59372	0.0
9	VGF138_A11	Poaceae	Ischaemum	Ischaemum ciliare	0.0	0.0	4877	0.90246
10	VGF138_B02	Rosaceae	Stranvaesia	Stranvaesia davidiana	0.0	0.0	10608	0.78784
11	VGF138_B03	Fabaceae	Caesalpinia	Caesalpinia enneaphylla	0.0	302.0	59372	0.0
12	VGF138_B04	Gentianaceae	Gentiana	Gentiana pubigera	0.0	1177.0	3551	0.69358
