	index	Score_Total
0	1	230
1	2	222
2	3	227
3	4	255
4	5	225
5	6	239
6	7	283
7	8	252
8	9	233
9	10	82
10	11	245
11	12	229
12	13	258
13	14	82
14	15	80
15	16	235
16	17	80
17	18	240
18	19	75
19	20	234
20	21	106
21	22	51
22	23	231
23	24	179
24	25	79
25	26	132
26	27	225
27	28	226
28	29	66
29	30	107
30	31	159
31	32	23
32	33	82
33	34	239
34	35	225
35	36	62
36	37	235
37	38	193
38	39	226
39	40	258
40	41	75
41	42	252
42	43	86
43	44	176
44	45	117
45	46	67
46	47	148
47	48	56
48	49	171
49	50	89
50	51	274
51	52	273
52	53	241
53	54	73
54	55	278
55	56	69
56	57	220
57	58	95
58	59	7
59	60	225
60	61	138
61	62	78
62	63	271
63	64	226
64	65	175
65	66	187
66	67	231
67	68	232
68	69	99
69	70	83
70	71	100
71	72	59
72	73	268
73	74	222
74	75	105
75	76	82
76	77	200
77	78	226
78	79	69
79	80	226
80	81	134
81	82	150
82	83	91
83	84	187
84	85	178
85	86	226
86	87	226
87	88	86
88	89	215
89	90	250
90	91	250
91	92	181
92	93	247
93	94	281
94	95	160
95	96	63
96	97	243
97	98	49
98	99	192
99	100	225
100	101	249
101	102	226
102	103	76
103	104	59
104	105	39
105	106	60
106	107	167
107	108	257
108	109	88
109	110	226
110	111	226
111	112	95
112	113	263
113	114	88
114	115	225
115	116	285
116	117	148
117	118	232
118	119	282
119	120	15
120	121	149
121	122	254
122	123	226
123	124	70
124	125	158
125	126	40
126	127	46
127	128	12
128	129	300
129	130	250
130	131	183
131	132	136
132	133	79
133	134	231
134	135	51
135	136	90
136	137	231
137	138	169
138	139	125
139	140	78
140	141	226
141	142	140
142	143	196
143	144	173
144	145	226
145	146	226
146	147	225
147	148	226
148	149	226
149	150	226
150	151	60
151	152	226
152	153	161
153	154	274
154	155	226
155	156	226
156	157	291
157	158	110
158	159	226
159	160	219
160	161	226
161	162	58
162	163	226
163	164	206
164	165	184
165	166	257
166	167	46
167	168	226
168	169	225
169	170	56
170	171	168
171	172	257
172	173	225
173	174	98
174	175	280
175	176	309
176	177	160
177	178	32
178	179	73
179	180	62
180	181	277
181	182	301
182	183	285
183	184	72
184	185	226
185	186	229
186	187	58
187	188	63
188	189	278
189	190	283
190	191	272
191	192	226
192	193	288
193	194	226
194	195	226
195	196	76
196	197	203
197	198	225
198	199	75
199	200	116
200	201	79
201	202	71
202	203	135
203	204	209
204	205	225
205	206	225
206	207	105
207	208	226
208	209	162
209	210	226
210	211	294
211	212	226
212	213	226
213	214	241
214	215	150
215	216	63
216	217	124
217	218	85
218	219	95
219	220	69
220	221	226
221	222	226
222	223	226
223	224	66
224	225	268
225	226	84
226	227	111
227	228	86
228	229	79
229	230	226
230	231	273
231	232	226
232	233	77
233	234	67
234	235	58
235	236	80
236	237	71
237	238	184
238	239	158
239	240	57
240	241	225
241	242	226
242	243	271
243	244	84
244	245	57
245	246	115
246	247	72
247	248	130
248	249	158
249	250	226
250	251	79
251	252	289
252	253	197
253	254	91
254	255	13
255	256	225
256	257	126
257	258	226
258	259	162
259	260	96
260	261	195
261	262	225
262	263	226
263	264	80
264	265	226
265	266	92
266	267	257
267	268	160
268	269	80
269	270	63
270	271	191
271	272	226
272	273	225
273	274	226
274	275	226
275	276	226
276	277	48
277	278	64
278	279	124
279	280	226
280	281	70
281	282	162
282	283	89
283	284	165
284	285	6
285	286	314
286	287	84
287	288	277
288	289	102
289	290	87
290	291	305
291	292	239
292	293	135
293	294	59
294	295	69
295	296	82
296	297	110
297	298	226
298	299	75
299	300	226
300	301	70
301	302	222
302	303	288
303	304	146
304	305	109
305	306	75
306	307	149
307	308	57
308	309	77
309	310	276
310	311	73
311	312	340
312	313	32
313	314	225
314	315	301
315	316	222
316	317	40
317	318	68
318	319	113
319	320	23
320	321	77
321	322	10
322	323	92
323	324	225
324	325	127
325	326	31
326	327	91
327	328	172
328	329	83
329	330	79
330	331	265
331	332	253
332	333	160
333	334	66
334	335	66
335	336	158
336	337	54
337	338	65
338	339	226
339	340	232
340	341	72
341	342	155
342	343	206
343	344	268
344	345	48
345	346	112
346	347	13
347	348	109
348	349	39
349	350	60
350	351	0
351	352	151
352	353	321
353	354	79
354	355	77
355	356	63
356	357	59
357	358	115
358	359	75
359	360	32
360	361	74
361	362	138
362	363	226
363	364	54
364	365	177
365	366	78
366	367	287
367	368	86
368	369	82
369	370	57
370	371	226
371	372	52
372	373	226
373	374	93
374	375	85
375	376	63
376	377	145
377	378	77
378	379	66
379	380	225
380	381	176
381	382	68
382	383	52
383	384	240
384	385	159
385	386	80
386	387	199
387	388	89
388	389	117
389	390	115
390	391	90
391	392	226
392	393	126
393	394	50
394	395	34
395	396	75
396	397	79
397	398	89
398	399	226
