	filename	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	initial_F	filtered_F	Total_SF	Total_SNAF	FS	FC	LC	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	SC	CCs	CCg	CC	New_CC_in_sp	New_CC_in_genus	PR
1	LQ-01-61-78_pos.mzXML	Celastraceae	Pristimera	Pristimera indica	727	727	271	263	0.37	0.36	0.87512	2	8	6064	1	0.5	0.5	1	{'Agarofuran sesquiterpenoids'}	{'Agarofuran sesquiterpenoids'}	3.23512
7	LQ-01-61-37_pos.mzXML	Celastraceae	Euonymus	Euonymus sanguineus	1655	1655	435	405	0.26	0.24	0.78972	1	440	6064	1	0.5	0.5	1	"{'Cholestane steroids', 'Agarofuran sesquiterpenoids', 'Other Octadecanoids'}"	"{'Cholestane steroids', 'Other Octadecanoids'}"	3.02972
2	LQ-01-61-07_pos.mzXML	Celastraceae	Celastrus	Celastrus paniculatus	1389	1389	508	475	0.37	0.34	0.66132	71	732	6064	1	0.5	0.5	1	"{'Cinnamic acids and derivatives', 'Dammarane and Protostane triterpenoids', 'Hydroxy fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Cholane steroids', 'Labdane diterpenoids', 'Open-chain polyketides'}"	"{'Cinnamic acids and derivatives', 'Dammarane and Protostane triterpenoids', 'Hydroxy fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Cholane steroids', 'Open-chain polyketides'}"	3.00132
0	LQ-01-61-72_pos.mzXML	Celastraceae	Salacia	Salacia letestuana	902	902	397	374	0.44	0.41	0.77592	0	514	6064	1	0	0	0	nothing in DB	nothing in DB	2.18592
3	LQ-01-61-23_pos.mzXML	Celastraceae	Euonymus	Euonymus cochinchinensis	598	598	220	204	0.37	0.34	0.79072	0	440	6064	1	0	0	0	nothing in DB	nothing in DB	2.13072
4	LQ-01-61-22_pos.mzXML	Celastraceae	Euonymus	Euonymus cochinchinensis	674	674	218	199	0.32	0.3	0.79072	0	440	6064	1	0	0	0	nothing in DB	nothing in DB	2.09072
16	LQ-01-61-60_pos.mzXML	Celastraceae	Mystroxylon	Mystroxylon aethiopicum	376	376	79	75	0.21	0.2	0.87872	0	0	6064	1	0	0	0	nothing in DB	nothing in DB	2.07872
14	LQ-01-61-63_pos.mzXML	Celastraceae	Pleurostylia	Pleurostylia pachyphloea	995	995	243	201	0.24	0.2	0.86872	0	50	6064	1	0	0	0	nothing in DB	nothing in DB	2.06872
6	LQ-01-61-56_pos.mzXML	Celastraceae	Maytenus	Maytenus undata	1506	1506	443	414	0.29	0.27	0.79712	14	338	6064	0	0.5	0.5	1	"{'Prostaglandins', 'Cinnamic acids and derivatives', 'Proanthocyanins', 'Monoacylglycerols', 'Dicarboxylic acids', 'Other Octadecanoids', 'Agarofuran sesquiterpenoids'}"	"{'Prostaglandins', 'Cinnamic acids and derivatives', 'Proanthocyanins', 'Monoacylglycerols', 'Dicarboxylic acids', 'Other Octadecanoids', 'Agarofuran sesquiterpenoids'}"	2.06712
20	LQ-01-61-64_pos.mzXML	Celastraceae	Pleurostylia	Pleurostylia pachyphloea	929	929	199	177	0.21	0.19	0.86872	0	50	6064	1	0	0	0	nothing in DB	nothing in DB	2.05872
