	filename	anomaly_IF	anomaly_LOF	anomaly_OCSVM	SC
0	DM2.mzML	1	1	1	0
1	DM1.mzML	1	1	1	0
2	D9.mzML	1	1	1	0
3	DM8.mzML	1	1	1	0
4	D7.mzML	1	1	1	0
5	D10.mzML	1	1	1	0
6	D2.mzML	1	1	1	0
7	M3.mzML	1	1	-1	1
8	D6.mzML	1	1	1	0
9	D8.mzML	-1	-1	1	1
10	DM6.mzML	1	1	1	0
11	D5.mzML	1	1	1	0
12	D1.mzML	1	1	1	0
13	D3.mzML	1	1	1	0
14	DM5.mzML	1	1	1	0
15	D4.mzML	1	1	1	0
16	M1.mzML	-1	-1	1	1
17	M7.mzML	1	1	1	0
18	DM4.mzML	1	1	1	0
19	M5.mzML	1	1	1	0
20	DM7.mzML	1	-1	-1	1
21	DM3.mzML	1	1	-1	1
22	M2.mzML	-1	-1	1	1
23	M6.mzML	1	1	1	0
24	DM9.mzML	1	1	1	0
25	DM10.mzML	1	1	1	0
26	M10.mzML	1	1	-1	1
27	DMV.mzML	-1	-1	1	1
28	M4.mzML	1	1	1	0
29	M8.mzML	1	1	1	0
30	M9.mzML	1	1	-1	1
