	row ID	componentindex	Annotated_GNPS	Annotated_Sirius	annotation
0	1	-1	0	0	0
1	2	471	0	0	0
2	3	-1	0	0	0
3	5	208	0	0	0
4	7	-1	0	0	0
5	8	-1	0	0	0
6	9	-1	0	0	0
7	10	-1	0	0	0
8	11	-1	0	0	0
9	13	-1	0	0	0
10	14	530	0	0	0
11	15	-1	0	1	0
12	16	-1	0	0	0
13	17	130	0	0	0
14	18	130	0	0	0
15	20	8	1	0	1
16	22	208	0	1	0
17	23	-1	0	0	0
18	24	208	0	0	0
19	25	130	0	0	0
20	26	208	0	0	0
21	27	-1	0	0	0
22	28	130	0	1	0
23	29	-1	0	1	0
24	30	130	1	1	1
25	31	-1	0	0	0
26	32	-1	0	0	0
27	33	440	0	1	0
28	34	-1	0	0	0
29	35	-1	1	0	1
30	36	-1	0	1	0
31	37	-1	0	1	0
32	39	8	0	1	0
33	40	-1	0	0	0
34	41	130	0	0	0
35	42	130	0	1	0
36	44	-1	0	0	0
37	45	-1	0	0	0
38	46	440	1	1	1
39	47	-1	0	0	0
40	48	-1	0	1	0
41	50	-1	0	0	0
42	51	-1	0	0	0
43	53	-1	0	1	0
44	54	-1	0	0	0
45	55	-1	0	1	0
46	56	-1	0	0	0
47	57	162	0	1	0
48	58	130	0	0	0
49	59	162	0	0	0
50	60	-1	0	1	0
51	61	8	0	0	0
52	63	303	0	1	0
53	64	568	0	1	0
54	67	1	0	0	0
55	68	285	0	1	0
56	69	1	0	0	0
57	70	193	0	0	0
58	71	471	0	0	0
59	72	-1	0	0	0
60	73	303	0	1	0
61	74	1	0	1	0
62	75	130	1	1	1
63	76	-1	0	1	0
64	77	347	0	0	0
65	78	-1	0	1	0
66	79	-1	0	0	0
67	80	-1	0	0	0
68	81	565	0	1	0
69	82	15	0	0	0
70	83	112	0	0	0
71	84	73	0	1	0
72	86	24	0	0	0
73	88	171	0	1	0
74	89	-1	0	0	0
75	94	24	0	0	0
76	95	90	0	0	0
77	96	24	0	0	0
78	97	1	0	0	0
79	98	-1	0	0	0
80	99	-1	0	1	0
81	100	100	0	0	0
82	101	-1	0	0	0
83	103	24	0	0	0
84	106	5	1	1	1
85	107	24	0	0	0
86	108	-1	0	0	0
87	109	-1	0	1	0
88	110	-1	0	1	0
89	111	-1	0	0	0
90	112	-1	0	1	0
91	113	166	0	0	0
92	114	-1	0	0	0
93	115	551	0	1	0
94	116	1	0	1	0
95	117	-1	0	1	0
96	118	1	0	1	0
97	119	-1	0	0	0
98	120	347	0	0	0
99	122	80	0	0	0
100	123	1	0	0	0
101	124	121	0	0	0
102	125	5	0	1	0
103	126	162	0	0	0
104	127	142	0	1	0
105	128	-1	0	1	0
106	130	8	0	0	0
107	131	8	0	0	0
108	132	-1	0	1	0
109	133	8	0	1	0
110	134	1	0	0	0
111	135	193	0	0	0
112	136	-1	0	1	0
113	137	-1	0	1	0
114	138	-1	0	0	0
115	139	-1	0	0	0
116	140	162	0	1	0
117	141	-1	0	0	0
118	142	-1	0	0	0
119	143	1	0	1	0
120	144	405	0	1	0
121	145	536	0	0	0
122	147	-1	0	1	0
123	147	-1	0	0	0
124	148	244	0	0	0
125	149	471	0	0	0
126	150	162	0	1	0
127	151	-1	0	1	0
128	152	1	0	0	0
129	153	568	0	1	0
130	154	130	0	0	0
131	155	565	0	0	0
132	156	135	0	0	0
133	156	135	0	0	0
134	157	-1	0	0	0
135	158	135	0	1	0
136	159	130	0	1	0
137	160	5	0	1	0
138	162	565	0	1	0
139	163	90	0	1	0
140	164	-1	0	1	0
141	166	121	0	0	0
142	168	93	0	0	0
143	169	347	0	0	0
144	170	15	0	1	0
145	171	8	0	1	0
146	172	208	0	0	0
147	173	427	0	0	0
148	174	130	0	0	0
149	175	-1	0	1	0
150	176	405	0	1	0
151	177	-1	0	0	0
