,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,Sample_specificity,FC,Reported_comp_Species,Reported_comp_Genus,LC,SC,New_in_species,New_in_genus,CC,PR
7,LQ-01-61-37_pos.mzXML,Euonymus sanguineus,Euonymus sanguineus|Roots,0.8385321100917431,0.7394495412844037,1,515.0,1,1.0,"{'Pyranocoumarins', 'Oleanane triterpenoids', 'Phenylalanine-derived alkaloids', 'Simple coumarins', 'Triketide meroterpenoids', 'Dihydroflavonols', 'Aminoacids', 'Flavonols', 'Furocoumarins', 'Tetraketide meroterpenoids', 'Unsaturated fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Flavones', 'Tetrahydroisoquinoline alkaloids', 'Rotenoids', 'Isocoumarins', 'Cinnamic acid amides', 'Azaphilones', 'Flavanones', 'Primary amides', 'Arylnaphthalene and aryltetralin lignans', 'Drimane sesquiterpenoids', 'Phenylethylamines', 'Dicarboxylic acids', 'Simple phenolic acids', 'Chromones', 'Daucane sesquiterpenoids', 'Depsides and depsidones', 'Phenethylisoquinoline alkaloids', 'Fatty alcohols', 'Purine alkaloids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Pterocarpan', 'Agarofuran sesquiterpenoids', 'Aflatoxins', 'Isoflavanones', 'Monocyclic monoterpenoids', 'Paraliane diterpenoids', 'Cyanogenic glycosides', 'Dipeptides', 'Quinoline alkaloids', 'Iridoids monoterpenoids', 'Isoflavones', 'Simple indole alkaloids', 'Cyclic peptides', 'Isoquinoline alkaloids'}","{'Pyranocoumarins', 'Phenylalanine-derived alkaloids', 'Simple coumarins', 'Triketide meroterpenoids', 'Dihydroflavonols', 'Aminoacids', 'Furocoumarins', 'Tetraketide meroterpenoids', 'Flavones', 'Unsaturated fatty acids', 'Tetrahydroisoquinoline alkaloids', 'Rotenoids', 'Isocoumarins', 'Cinnamic acid amides', 'Azaphilones', 'Flavanones', 'Drimane sesquiterpenoids', 'Phenylethylamines', 'Dicarboxylic acids', 'Simple phenolic acids', 'Chromones', 'Daucane sesquiterpenoids', 'Depsides and depsidones', 'Phenethylisoquinoline alkaloids', 'Fatty alcohols', 'Purine alkaloids', 'Pterocarpan', 'Aflatoxins', 'Isoflavanones', 'Monocyclic monoterpenoids', 'Paraliane diterpenoids', 'Cyanogenic glycosides', 'Dipeptides', 'Quinoline alkaloids', 'Iridoids monoterpenoids', 'Cyclic peptides', 'Isoflavones', 'Simple indole alkaloids', 'Primary amides', 'Isoquinoline alkaloids'}",1.0,3.7394495412844035
15,LQ-01-61-07_pos.mzXML,Celastrus paniculatus,Celastrus paniculatus|Seeds,0.7134502923976608,0.6705653021442495,2,910.0,1,1.0,"{'Labdane diterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Ceramides', 'Prostaglandins', 'Polyamines', 'Menthane monoterpenoids', 'Taxane diterpenoids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Limonoids', 'Other Octadecanoids', 'Monoacylglycerols', 'Nitro fatty acids', 'N-acyl ethanolamines (endocannabinoids)', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Diacylglycerols', 'Dicarboxylic acids', 'Simple phenolic acids', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Sphingoid bases', 'Fatty alcohols', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Aminosugars', 'Trichothecane sesquiterpenoids', 'Purine alkaloids', 'Hydroxy fatty acids', 'Imidazole alkaloids', 'Cinnamic acids and derivatives', 'Macrolide lactones', 'Cholane steroids', 'Cucurbitane triterpenoids', 'Arteminisin', 'Amino cyclitols', 'Paraliane diterpenoids', 'Dipeptides', 'Iridoids monoterpenoids', 'Primary amides', 'Fatty aldehydes'}","{'Labdane diterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Ceramides', 'Prostaglandins', 'Polyamines', 'Germacrane sesquiterpenoids', 'Taxane diterpenoids', 'Open-chain polyketides', 'Limonoids', 'Other Octadecanoids', 'Monoacylglycerols', 'Nitro fatty acids', 'N-acyl ethanolamines (endocannabinoids)', 'Primary amides', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Diacylglycerols', 'Dicarboxylic acids', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Sphingoid bases', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Aminosugars', 'Trichothecane sesquiterpenoids', 'Purine alkaloids', 'Hydroxy fatty acids', 'Imidazole alkaloids', 'Cinnamic acids and derivatives', 'Macrolide lactones', 'Cholane steroids', 'Cucurbitane triterpenoids', 'Arteminisin', 'Paraliane diterpenoids', 'Dipeptides', 'Iridoids monoterpenoids', 'Amino cyclitols', 'Fatty aldehydes'}",1.0,3.6705653021442495
0,LQ-01-61-06_pos.mzXML,Celastrus orbiculatus,Celastrus orbiculatus|Roots,0.86328125,0.82421875,253,910.0,0,1.0,"{'Labdane diterpenoids', 'Abietane diterpenoids', 'Phenylalanine-derived alkaloids', 'Simple coumarins', 'Catechols with side chains', 'Aminoacids', 'Irregular monoterpenoids', 'Polyamines', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Triacylglycerols', 'Azaphilones', 'Isocoumarins', 'Drimane sesquiterpenoids', 'Zearalenones', 'Prenyl quinone meroterpenoids', 'Pimarane and Isopimarane diterpenoids', 'Dicarboxylic acids', 'Daucane sesquiterpenoids', 'Depsides and depsidones', 'Tetracyclic diterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Imidazole alkaloids', 'Cholane steroids', 'Arteminisin', 'Paraliane diterpenoids', 'Jasmonic acids', 'Dipeptides', 'Primary amides', 'Piperidine alkaloids'}","{'Labdane diterpenoids', 'Abietane diterpenoids', 'Phenylalanine-derived alkaloids', 'Simple coumarins', 'Catechols with side chains', 'Aminoacids', 'Irregular monoterpenoids', 'Polyamines', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Azaphilones', 'Isocoumarins', 'Drimane sesquiterpenoids', 'Zearalenones', 'Prenyl quinone meroterpenoids', 'Pimarane and Isopimarane diterpenoids', 'Dicarboxylic acids', 'Daucane sesquiterpenoids', 'Depsides and depsidones', 'Tetracyclic diterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Imidazole alkaloids', 'Cholane steroids', 'Arteminisin', 'Paraliane diterpenoids', 'Jasmonic acids', 'Dipeptides', 'Primary amides', 'Piperidine alkaloids'}",1.0,2.82421875
4,LQ-01-61-27_pos.mzXML,Euonymus fortunei,Euonymus fortunei|Aerial_parts,0.8951612903225806,0.782258064516129,1,515.0,1,0.0,"{'Chalcones', 'Oleanane triterpenoids', 'Fatty alcohols', 'Phenylalanine-derived alkaloids', 'Lupane triterpenoids', 'Purine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Cinnamic acids and derivatives', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Cucurbitane triterpenoids', 'Linear polyenes', 'Primary amides', 'Flavanones', 'Ecdysteroids', 'Picrotoxane sesquiterpenoids', 'Cyanogenic glycosides', '2-pyrone derivatives', 'Dipeptides', 'Megastigmanes', 'Iridoids monoterpenoids', 'Dicarboxylic acids', 'Pregnane steroids', 'Simple phenolic acids', 'Secoiridoid monoterpenoids', 'Piperidine alkaloids'}","{'Chalcones', 'Phenylalanine-derived alkaloids', 'Lupane triterpenoids', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Other Octadecanoids', 'Flavanones', 'Ecdysteroids', 'Picrotoxane sesquiterpenoids', '2-pyrone derivatives', 'Dicarboxylic acids', 'Simple phenolic acids', 'Pregnane steroids', 'Fatty alcohols', 'Purine alkaloids', 'Piperidine alkaloids', 'Cucurbitane triterpenoids', 'Cyanogenic glycosides', 'Dipeptides', 'Megastigmanes', 'Iridoids monoterpenoids', 'Secoiridoid monoterpenoids', 'Primary amides', 'Linear polyenes'}",1.0,2.782258064516129
6,LQ-01-61-23_pos.mzXML,Euonymus cochinchinensis,Euonymus cochinchinensis|Leaves,0.8050314465408805,0.7641509433962265,0,0.0,1,1.0,,,0.0,2.7641509433962264
8,LQ-01-61-28_pos.mzXML,Euonymus grandiflorus,Euonymus grandiflorus|Bark,0.810126582278481,0.7341772151898734,3,515.0,1,0.0,"{'Oleanane triterpenoids', 'Lupane triterpenoids', 'Simple coumarins', 'Aminoacids', 'Cinnamic acids and derivatives', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Cholane steroids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Triacylglycerols', 'Azaphilones', 'Primary amides', 'Cyanogenic glycosides', 'Cholestane steroids', 'Cyclic peptides', 'Diacylglycerols', 'Iridoids monoterpenoids', 'Dicarboxylic acids', 'Pregnane steroids', 'Straight chain fatty acids'}","{'Triacylglycerols', 'Azaphilones', 'Primary amides', 'Lupane triterpenoids', 'Simple coumarins', 'Cyanogenic glycosides', 'Cholestane steroids', 'Aminoacids', 'Straight chain fatty acids', 'Cyclic peptides', 'Iridoids monoterpenoids', 'Dicarboxylic acids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Cholane steroids', 'Pregnane steroids'}",1.0,2.7341772151898733
9,LQ-01-61-05_pos.mzXML,Celastrus orbiculatus,Celastrus orbiculatus|Stems,0.7623762376237624,0.7227722772277227,253,910.0,0,1.0,"{'Chalcones', 'Abeolupane triterpenoids', 'Simple coumarins', 'Dihydroflavonols', 'Aminoacids', 'Polyamines', 'Lipopeptides', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Hydrocarbons', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Triacylglycerols', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Zearalenones', 'Diacylglycerols', 'Dicarboxylic acids', 'Daucane sesquiterpenoids', 'Trichothecane sesquiterpenoids', 'Hydroxy fatty acids', 'Glycosyldiacylglycerols', 'Oligomeric phloroglucinols (phlorotannins)', 'Cholane steroids', 'Polyether ionophores', 'Ergostane steroids', 'Fusidane triterpenoids', 'Paraliane diterpenoids', 'Cyanogenic glycosides', 'Aminoglycosides', 'Pyridine alkaloids', 'Primary amides', 'Cannabinoids'}","{'Chalcones', 'Abeolupane triterpenoids', 'Simple coumarins', 'Dihydroflavonols', 'Aminoacids', 'Polyamines', 'Lipopeptides', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Hydrocarbons', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Zearalenones', 'Diacylglycerols', 'Dicarboxylic acids', 'Daucane sesquiterpenoids', 'Trichothecane sesquiterpenoids', 'Hydroxy fatty acids', 'Glycosyldiacylglycerols', 'Oligomeric phloroglucinols (phlorotannins)', 'Cholane steroids', 'Polyether ionophores', 'Ergostane steroids', 'Fusidane triterpenoids', 'Paraliane diterpenoids', 'Cyanogenic glycosides', 'Aminoglycosides', 'Primary amides', 'Cannabinoids'}",1.0,2.7227722772277225
10,LQ-01-61-47_pos.mzXML,Maytenus inermis,Maytenus inermis|Underground_parts,0.805,0.715,0,0.0,1,1.0,,,0.0,2.715
13,LQ-01-61-41_pos.mzXML,Loeseneriella concinna,Loeseneriella concinna|Stems,0.7735042735042735,0.6752136752136753,0,0.0,1,1.0,,,0.0,2.6752136752136755
14,LQ-01-61-62_pos.mzXML,Pleurostylia africana,Pleurostylia africana|Leaves,0.7440476190476191,0.6726190476190477,3,55.0,1,0.0,"{'Phenylalanine-derived alkaloids', 'Fatty acyl glycosides of mono- and disaccharides', 'Simple coumarins', 'Steroidal alkaloids', 'Flavonols', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Flavones', 'Caryophyllane sesquiterpenoids', 'Monomeric stilbenes', 'N-acyl ethanolamines (endocannabinoids)', 'Picrotoxane sesquiterpenoids', 'Cholestane steroids', 'Amino fatty acids', 'Diacylglycerols', 'Dicarboxylic acids', 'Simple phenolic acids', 'Sphingoid bases', 'Fatty alcohols', 'Hydroxy fatty acids', 'Tripeptides', 'Imidazole alkaloids', 'Cholane steroids', 'Pyrimidine nucleosides', 'Fatty acyl homoserine lactones', 'Cyanogenic glycosides', 'Aminoglycosides', 'Dipeptides', 'Primary amides', 'Pyrimidine nucleotides', 'Purine nucleotides'}","{'Phenylalanine-derived alkaloids', 'Fatty acyl glycosides of mono- and disaccharides', 'Simple coumarins', 'Steroidal alkaloids', 'Flavonols', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Flavones', 'Caryophyllane sesquiterpenoids', 'Monomeric stilbenes', 'N-acyl ethanolamines (endocannabinoids)', 'Picrotoxane sesquiterpenoids', 'Cholestane steroids', 'Amino fatty acids', 'Diacylglycerols', 'Dicarboxylic acids', 'Simple phenolic acids', 'Sphingoid bases', 'Fatty alcohols', 'Hydroxy fatty acids', 'Tripeptides', 'Imidazole alkaloids', 'Cholane steroids', 'Pyrimidine nucleosides', 'Fatty acyl homoserine lactones', 'Cyanogenic glycosides', 'Aminoglycosides', 'Dipeptides', 'Primary amides', 'Pyrimidine nucleotides', 'Purine nucleotides'}",1.0,2.6726190476190474
